專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20230104,豆菜類,菜豆,105,廣誠素食/臺北市松山區八德路3段140號,不符合規定,"殺蟲劑3-羥基加保扶(3-OH Carbofuran)0.02ppm、加保扶(Carbofuran)0.03ppm(標準：不得檢出)
殺蟎劑Ethion 愛殺松0.30ppm(標準：不得檢出) 
殺蟲劑Etofenprox 依芬寧0.06ppm(標準：不得檢出) 
殺蟲劑Indoxacarb 因得克0.09ppm(標準：0.01ppm以下) 
殺菌劑Propamocarb hydrochloride 普拔克0.3ppm(標準：0.1ppm以下) 
殺菌劑Thifluzamide 賽氟滅0.05(標準：不得檢出) "
蔬果,20230103,小漿果類,大湖草莓（中）（180g/盒）,111,惠康百貨股份有限公司天母分公司(Mia C'bon)/臺北市士林區天母西路3號2樓,不符合規定,"殺蟲劑Abamectin 阿巴汀0.07ppm(標準：0.02ppm以下) 
殺蟲劑Deltamethrin 第滅寧0.6ppm(標準：0.2ppm以下) 
殺菌劑Fludioxonil 護汰寧3.2ppm(標準：2.0ppm以下) 
殺菌劑Propamocarb hydrochloride 普拔克14.8ppm(標準：9.0ppm以下)
殺蟲劑Spiromesifen 賜滅芬2.9ppm(標準：1.0ppm以下) "
蔬果,20230103,包葉菜類,結球白菜,111,全聯實業股份有限公司天母天玉分公司/臺北市士林區天母西路3號地下室,不符合規定,"殺蟲劑3-酮基加保扶（ 3-keto Carbofuran） 0.03ppm、3-羥基加保扶（ 3 -O H C a rb o fu ra n ） 0 .1 3 p p m 、加保扶（C arbofuran ） 0.04ppm （ 標準： 0.1ppm 以下） 
殺蟲劑Diflubenzuron二福隆1.3ppm（標準：1.0ppm以下）
殺蟲劑Pyriproxyfen百利普芬0.29ppm（標準：0.01ppm以下）
殺蟲劑Tolfenpyrad脫芬瑞0.7ppm（標準：0.5ppm以下）"
蔬果,20230105,小葉菜類,茼蒿,106,築間幸福鍋物/臺北市大安區忠孝東路4段120號2樓,不符合規定,"殺菌劑Chlorothalonil 四氯異苯腈13.7ppm(標準：2.0ppm以下) 
殺菌劑Difenoconazole 待克利1.4ppm(標準：1.0ppm以下) 
殺菌劑Propiconazole 普克利0.02ppm(標準：0.01ppm以下) "
蔬果,20230105,小漿果類,紅莓-佐賀紅盒莓桑7玉(草莓),106,一級鮮果商行/臺北市大安區仁愛路4段408號,不符合規定,"殺蟲劑Cyantraniliprole 賽安勃0.05ppm(標準：不得檢出) 
殺蟲劑Flonicamid 氟尼胺0.06ppm(標準：0.01ppm以下) "
蔬果,20230105,小葉菜類,青江菜,106,築間幸福鍋物/臺北市大安區忠孝東路4段120號2樓,不符合規定,"殺線蟲劑Oxamyl 毆殺滅1.4ppm(標準：0.5ppm以下) 
殺蟲劑Profenophos 佈飛松1.8ppm(標準：1.0ppm以下) "
蔬果,20230103,包葉菜類,刈菜,108,謝O枚/臺北市萬華區萬大路533號地號812,不符合規定,殺蟲劑Tetraniliprole 特安勃0.59ppm(標準：不得檢出) 
蔬果,20230104,小漿果類,日本熊本草莓600g,105,微風超市股份有限公司(Breeze Super)/臺北市松山區南京東路3段337號2樓,不符合規定,殺蟎劑亞醌蟎代謝物(Acequinocyl-hydroxyl)0.06ppm(標準：不得檢出) 
蔬果,20230104,包葉菜類,長年菜,105,天香/臺北市松山區八德路3段76號/中崙市場24號攤,不符合規定,殺蟲劑Tetraniliprole 特安勃0.04ppm(標準：不得檢出) 
蔬果,20230103,小漿果類,草莓,100,梅林水果行/臺北市中正區開封街1段81、83號1樓,不符合規定,殺蟎劑Acrinathrin 阿納寧0.03ppm(標準：不得檢出) 
