專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20220105,果菜類,青龍椒,104,全聯實業股份有限公司大直北安分公司(全聯)/臺北市中山區北安路588巷8、10號1樓,不符合規定,殺蟎劑Spirodiclofen 賜派芬0.52(標準：0.01ppm以下) 
蔬果,20220104,包葉菜類,包心白菜,112,古意人水果專賣店/臺北市北投區中央南路1段159、161號,不符合規定,"殺蟲劑Abamectin 阿巴汀0.07ppm(標準：0.05ppm以下) 
殺蟲劑Emamectin benzoate 因滅汀1.76ppm(標準：0.05ppm以下) "
蔬果,20220104,小葉菜類,格藍芽(芥藍),112,復興市場菜攤/臺北市北投區中和街320巷14號對面,不符合規定,殺線蟲劑Oxamyl 毆殺滅1.3ppm(標準：0.5ppm以下) 
蔬果,20220104,小漿果類,日本熊本草莓,111,農果水果行/臺北市士林區士東路95號1樓,不符合規定,殺菌劑Fluopyram 氟派瑞2.5ppm(標準：1.5ppm以下) 
蔬果,20220104,柑桔類,日本排站金桔,111,農果水果行/臺北市士林區士東路95號1樓,不符合規定,殺蟎劑Bifenazate 必芬蟎0.08ppm(標準：不得檢出) 
蔬果,20220105,小葉菜類,茼蒿,104,小農市集/臺北市中山區北安路458巷41弄3號/大直市場F03號攤,不符合規定,殺菌劑Difenoconazole 待克利1.2ppm(標準：1.0ppm以下) 
蔬果,20220105,小葉菜類,芥藍,104,小農市集/臺北市中山區北安路458巷41弄3號/大直市場F03號攤,不符合規定,殺菌劑Carbendazim 貝芬替1.3ppm(標準：1.0ppm以下) 
蔬果,20220105,小漿果類,日本草莓,106,一級鮮果商行/臺北市大安區仁愛路4段408號,不符合規定,殺蟲劑Flonicamid 氟尼胺0.04ppm(標準：0.01ppm以下) 
蔬果,20220105,柑桔類,鹿兒島金桔,106,一級鮮果商行/臺北市大安區仁愛路4段408號,不符合規定,"殺蟲劑Flubendiamide 氟大滅0.02ppm(標準：不得檢出) 
殺菌劑Iprodione 依普同0.04ppm(標準：0.01ppm以下) "
蔬果,20220105,小葉菜類,苳萵（茼蒿）,106,兆洋餐飲事業股份有限公司台北忠孝二分公司(築間幸福鍋物)/臺北市大安區忠孝東路4段120號2樓、120號2樓之1,不符合規定,"殺菌劑Boscalid 白克列14.9ppm(標準：4.0ppm以下) 
殺菌劑Difenoconazole 待克利3.5ppm(標準：1.0ppm以下) 
殺菌劑Dimethomorph 達滅芬4.9ppm(標準：2.5ppm以下) "
