項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
1,11-08陳○惠(蔬果承銷人2083),臺北市中山區,山茼蒿,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
2,19-11林○樺,臺北市中山區,絲瓜,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
3,19-12林○樺,臺北市中山區,紅蘿蔔,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
4,B248吳○民水果行,新北市板橋區,水晶芭,110/2/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5,「陳O義」,新北市板橋區,手工板豆腐,110/3/3,防腐劑(苯甲酸),不合格,違反食安法第18條，依同法第47條裁處,30000,,違反食安法第18條，依同法第47條裁處,high,第18條 食品添加物使用標準
6,丁○江蔬果行,臺北市北投區,青江菜,113/8/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
7,丁○江蔬果行,臺北市北投區,青蒜,113/8/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
8,丁○江蔬果行,臺北市北投區,大黃瓜(胡瓜),113/4/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
9,余○鋒,臺北市中山區,茼蒿,114/1/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
10,侯○文(承銷0988),臺北市中山區,娃娃菜,110/1/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
11,台美畜牧官田場,臺北市松山區,善好蛋(善好人道雞蛋),110/6/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
12,吳○丞,新北市板橋區,白色花椰菜,114/3/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
13,吳○峰承銷號9285,新北市三重區,包心白菜,112/2/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
14,吳○舍,新北市三重區,新鮮白夢卜(白蘿蔔),114/8/5,農藥(可尼丁),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
15,吳○金,新北市蘆洲區,九層塔(羅勒),114/4/9,農藥(滅芬諾、賜諾特、草殺淨),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
16,呂O郎清燉羊肉爐,臺北市內湖區,羊肉,115/1/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
17,呂○濃,新北市中和區,蘿蔔,110/10/25,農藥(百利普芬),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
18,嘉品水果行(朱○翎),臺北市中山區,樂淇蘋果,110/10/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
19,姚○泰,臺北市大安區,菜頭,114/8/5,農藥(賽速安、可尼丁),不合格,依食安法第47條裁處,30001,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
20,姚○泰,臺北市大安區,白蘿蔔,113/8/1,農藥(可尼丁、二氯松、三氯松),不合格,依食安法第47條第1項第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
21,康○勝,新北市板橋區,芥藍,114/4/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
22,廖○娥,臺北市萬華區,愛文(芒果),111/7/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
23,張○○嬌,新北市中和區,香菜,112/5/24,農藥(普拔克、陶斯松、福多寧),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
24,張○尊,新北市五股區,刈菜(包心芥菜),113/1/2,農藥(福多寧),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
