項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
1,(市招：J6韓食創意餐館)饗饌股份有限公司,新北市淡水區義山路2段301號2樓,–,112/9/11,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
2,(市招：J6韓食創意餐館)饗饌股份有限公司,新北市淡水區義山路2段301號2樓,–,112/9/23,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
3,(恆通蔬果行)暢記鮮果蔬菜廣場錦州店,臺北市中山區錦州街261號,白肉火龍果,110/6/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
4,(蔡)正老字店豆花,新北市三重區三和路4段89巷18號1樓,紅白小湯圓,112/10/24,防腐劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5,119牛羊肉行,臺北市文山區保儀路13巷3號,冷凍肉品,110/9/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
6,123甘草芭樂,台北市士林區中正路679-1號一樓,–,114/7/31,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
7,123甘草芭樂,台北市士林區中正路679-1號一樓,–,114/7/15,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
8,12MINI快煮鍋內湖大潤發店,臺北市內湖區舊宗路1段188號1樓,豬/梅花肉捲/0.15cm/加拿大/KG,115/1/6,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
9,162豆花,新北市永和區永貞路162號,小湯圓,110/10/19,防腐劑、漂白劑、順丁烯二酸與順丁烯二酸酐,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
10,18號尚益漁產行.阿雪新鮮漁貨,新北市萬里區漁澳16之2號,花蟹,114/10/1,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
11,18號麵館,新北市新店區北新路2段66巷12號,陽春細麵,110/2/2,防腐劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
12,22:02火鍋樂活南港店,臺北市南港區忠孝東路7段369號,美國無骨牛小排熟成,113/5/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
13,22號蔬果園,臺北市萬華區西藏路125巷22號1樓,甜瓜(美濃),114/7/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
14,22號蔬果園,臺北市萬華區西藏路125巷22號1樓,日本茄子,112/9/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
15,24家禽攤,臺北市中山區錦州街222號,烏骨雞,112/2/14,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
16,25泰國船麵,臺北市萬華區中華路2段8號1樓,—,113/9/12,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
17,25泰國船麵,臺北市萬華區中華路2段8號1樓,-,111/10/14,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
18,25泰國船麵,臺北市萬華區中華路2段8號1樓,-,111/9/30,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
19,28號菜攤,新北市蘆洲區中華街6巷28號,紅鳳菜,110/11/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
20,313肉鋪,臺北市士林區士東路100號,後腿肉,111/6/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
21,33番日本糖果餅乾專賣店,臺北市士林區士東路100號(士東市場33號攤),春日井軟糖-白葡萄,115/1/22,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
22,3543沃海群,臺北市萬華區萬大路533號,芥藍,112/8/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
23,38蔬果行,新北市泰山區福泰街38號,香菜,110/5/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
24,50嵐,新北市中和區中山路3段113號,,112/3/24,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
25,50嵐,臺北市大安區復興南路1段107巷23之3號,,112/3/29,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
26,50嵐,新北市三重區三和路4段205號1樓,加拿高纖椰果,111/4/6,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
27,50年代枝仔冰,新北市淡水區淡金路二段270-1號,-,114/5/15,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
28,50年代童玩店,新北市八里區渡船頭21巷2號,大仙李,110/11/18,防腐劑、甜味劑、著色劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
29,60年古早味潤餅刈包,臺北市萬華區東園街28巷27號,花生粉,113/2/17,真菌毒素,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
30,621商行,台北市北投區磺港路33號,大辣方干,113/11/15,防腐劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
31,7-11-保元門市(統一超商股份有限公司),新北市新莊區中正路72號1樓,_,110/3/25,GHP,合格,_,0,_,未明確標示,info,原始資料未提供有效法條資訊
32,7-ELEVEN,新北市永和區民權路32號1樓,,112/3/16,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
33,7-ELEVEN,新北市五股區五權路23號,統一冰塊(紅冰),111/3/23,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
34,7-ELEVEN,臺北市大安區仁愛路4段266巷15弄22號,-,111/4/6,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
35,737市場第86攤,臺北市內湖區內湖路一段737巷50弄6號,去骨雞胸肉,114/4/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
36,737市場第86攤,台北市內湖區內湖路一段737巷50弄6號,去骨雞胸肉,114/4/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
37,737市場第8攤,臺北市內湖區內湖路一段737巷50弄6號,帶骨雞腿,114/4/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
38,737市場第8攤,台北市內湖區內湖路一段737巷50弄6號,帶骨雞腿,114/4/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
39,77潤餅,臺北市內湖區內湖路1段737巷50弄41號,花生粉,111/2/16,真菌毒素,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
40,77潤餅刈包,臺北市內湖區內湖路1段737巷50弄41號,花生粉,112/2/17,真菌毒素,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
41,85度C,臺北市北投區知行路299號,,112/3/27,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
42,8鍋,新北市永和區永貞路333號,豬肉片,110/3/31,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
43,9-08加鎰水果行(青果承銷人1056),臺北市中山區民族東路336號,次郎甜柿,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
44,92水鳥,臺北市北投區知行路92號1樓,-,111/10/7,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
45,92水鳥,臺北市北投區知行路92號1樓,-,111/9/27,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
46,A-LI阿理義式廚房,新北市三重區碧華街301號,—,113/9/16,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
47,A-LI阿理義式廚房,新北市三重區碧華街301號,豬培片(台灣),113/8/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
48,AA牛排屋,新北市五股區成泰路1段181號,-,112/11/17,GHP,合格,-,,,未明確標示,info,原始資料未提供有效法條資訊
49,AA牛排屋,新北市五股區成泰路1段181號,-,112/11/7,標示,合格,-,,,未明確標示,info,原始資料未提供有效法條資訊
50,ALan手工豆花熱冷飲店,臺北市南港區東新街116之2號,芋圓,113/10/23,順丁烯二酸與順丁烯二酸酐總量,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
51,B220嘉宏水果行,新北市板橋區板城路1000號,珍珠芭樂,110/2/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
52,B336春枝蔬菜行,新北市板橋區板城路1000號,芋頭,110/2/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
53,BELINIPastaPasta蘆洲徐匯店,新北市蘆洲區中山一路8號5樓,豬五花(台灣),114/9/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
54,BELLINIPastaPasta蘆洲徐匯店,新北市蘆洲區中山一路8號5樓,美國沙朗牛排,114/9/3,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
55,BELLINIPastaPasta蘆洲徐匯店,新北市蘆洲區中山一路8號5樓,-,114/9/18,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
56,C1食坊,新北市中和區建八路2號前樓,－,110/9/17,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
57,CHICAGO(傑生烘焙工作坊有限公司),臺北市大安區復興南路二段379號,青豆仁(豌豆),113/7/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
58,CITYsSUPERSOGO復興館,臺北市大安區忠孝東路3段300號B3樓,SUNFRIEND益生菌蒟蒻果凍(水蜜桃),111/9/8,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
59,CITYsSUPERSOGO復興館,台北市大安區忠孝東路三段300號B3樓,豐生金針菇,110/8/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
60,CITYsSUPERSOGO復興館,臺北市大安區忠孝東路3段300號B3,美國特優翼板肉燒肉片,110/4/20,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
61,COLDSTONE酷聖石冰淇淋,新北市永和區中山路1段238號B1樓,餅乾超載了,112/4/28,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
62,COMEBUY,臺北市中山區北安路516之5號1樓,,112/3/27,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
63,City'sSuper復興店,臺北市大安區忠孝東路3段300號B3,極鮮生凍小卷,111/7/18,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
64,Citysuper天母店,臺北市士林區中山北路六段77號B1樓,台灣大湖草莓,114/3/10,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
65,Citysuper天母店(遠東都會股份有限公司-天母店),臺北市士林區中山北路六段77號B1樓,美國酪梨,110/6/8,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
66,CoCo壱番屋,台北市士林區士商路189號B1,–,114/8/6,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
67,CoCo壱番屋,台北市士林區士商路189號B1,–,114/7/7,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
68,CoCo都可,新北市中和區景安路154號,冰塊,111/3/8,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
69,CoCo都可,臺北市大同區昌吉街53號,-,111/3/31,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
70,CoCo都可,臺北市大同區昌吉街53號,-,111/4/25,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
71,CocoBrother椰兄-南京店,臺北市松山區南京東路3段303巷24號1樓,-,111/9/16,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
72,CocoBrother椰兄-南京店,臺北市松山區南京東路3段303巷24號1樓,雞蛋,111/9/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
73,CoffeeLaw,臺北市大安區安和路1段24號,-,111/4/14,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
74,CoffeeLaw,臺北市大安區安和路1段24號,食用冰塊,111/4/6,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
75,DELOIN,臺北市內湖區瑞光路210號,伊比利梅花豬,110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
76,DailyBreakfast達利早餐-中和復興店,新北市中和區復興路48號,番茄雞胸義大利麵,112/9/4,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
77,DiamondTowers,臺北市大安區忠孝東路3段268號,冷凍台灣鯛魚片(活魚生鮮魚肉),113/4/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
78,Eatenjoy意享美式廚房,新北市新店區北新路一段88巷1-1號,火烤培根豬肉堡,114/9/2,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
79,Eatenjoy意享美式廚房,新北市新店區北新路一段88巷1-1號,-,114/9/24,GHP,不合格,違反食安法第8條第1項規定，爰依同法第44條第1項規定裁處,60000,,違反食安法第8條，依同法第44條裁處,high,第8條 食品業者衛生管理（GHP）
80,E時代早午餐,新北市新莊區民安路41號,－,110/9/9,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
81,E時代早午餐,新北市新莊區民安路41號,－,110/9/22,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
82,FLASHCOFFEE,臺北市大安區仁愛路4段300巷13號,-,111/4/14,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
83,FLASHCOFFEE,臺北市大安區仁愛路4段300巷13號,食用冰塊,111/4/6,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
84,Flashcoffee,新北市新莊區思源路553號,,112/3/1,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
85,FreshMart忠孝店,臺北市大安區忠孝東路4段45號,黃花魚(黃魚),113/4/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
86,FreshToGo新鮮購,臺北市北投區石牌路2段201號,蘋果原汁,111/4/7,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87,G+9鮮釀啤酒餐廳(東勝小廚餐館),新北市板橋區三民路2段69號,-,111/9/12,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
88,GREEN&SAFESOGO復興店,臺北市大安區忠孝東路3段300號B3,海水生態龍膽石斑清肉,113/8/30,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
89,GREEN&SAFE台北公館店,臺北市大安區羅斯福路3段297號,冷凍美國Prime自然牛翼板牛排,112/9/20,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
90,GREEN&SAFE台北公館店,臺北市大安區羅斯福路3段297號,冷凍台灣正黑豬小排,110/9/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
91,GREEN&SAFE台北公館店,臺北市大安區羅斯福路3段297號,冷凍伊比利豬梅花肉片,110/4/20,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
92,GREEN&SAFE忠孝店,臺北市中正區忠孝東路2段134巷3號,冷凍美國prime自然牛牛肉片,113/5/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
93,GREEN&SAFE永春店,臺北市信義區忠孝東路5段439號,海水生態養殖午仔魚2入,114/3/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
94,GREEN&SAFE真食物專賣店,臺北市大安區忠孝東路3段300號,冷凍本土羊肉塊(帶皮帶骨),112/2/15,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
95,GoChill夠秋咖哩製造地,新北市板橋區三民路2段186巷34號,梅花豬肉(台灣),112/9/11,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
