年度,受傷部位,行業別,受傷部位次數
2022,頭,農、林、漁、牧業,7
2022,頭,礦業及土石採取業,0
2022,頭,製造業,484
2022,頭,食品及飼品製造業,43
2022,頭,飲料製造業,5
2022,頭,菸草製造業,0
2022,頭,紡織業,17
2022,頭,成衣及服飾品製造業,2
2022,頭,皮革、毛皮及其製品製造業,2
2022,頭,木竹製品製造業,3
2022,頭,紙漿、紙及紙製品製造業,9
2022,頭,印刷及資料儲存媒體複製業,2
2022,頭,石油及煤製品製造業,0
2022,頭,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,21
2022,頭,其他化學製品製造業,6
2022,頭,藥品及醫用化學製品製造業,15
2022,頭,橡膠製品製造業,6
2022,頭,塑膠製品製造業,13
2022,頭,非金屬礦物製品製造業,16
2022,頭,基本金屬製造業,21
2022,頭,金屬製品製造業,55
2022,頭,電子零組件製造業,106
2022,頭,電腦、電子產品及光學製品製造業,36
2022,頭,電力設備及配備製造業,18
2022,頭,機械設備製造業,32
2022,頭,汽車及其零件製造業,10
2022,頭,其他運輸工具及其零件製造業,28
2022,頭,家具製造業,4
2022,頭,其他製造業,12
2022,頭,產業用機械設備維修及安裝業,2
2022,頭,電力及燃氣供應業,1
2022,頭,用水供應及污染整治業,16
2022,頭,營建工程業,41
2022,頭,批發及零售業,126
2022,頭,運輸及倉儲業,151
2022,頭,住宿及餐飲業,73
2022,頭,出版、影音製作、傳播及資通訊服務業,13
2022,頭,金融及保險業,25
2022,頭,不動產業,13
2022,頭,專業、科學及技術服務業,23
2022,頭,支援服務業,53
2022,頭,公共行政及國防；強制性社會安全,35
2022,頭,教育業,21
2022,頭,醫療保健及社會工作服務業,63
2022,頭,藝術、娛樂及休閒服務業,21
2022,頭,其他服務業,6
2022,臉顏,農、林、漁、牧業,0
2022,臉顏,礦業及土石採取業,1
2022,臉顏,製造業,209
2022,臉顏,食品及飼品製造業,10
2022,臉顏,飲料製造業,1
2022,臉顏,菸草製造業,0
2022,臉顏,紡織業,6
2022,臉顏,成衣及服飾品製造業,0
2022,臉顏,皮革、毛皮及其製品製造業,0
2022,臉顏,木竹製品製造業,1
2022,臉顏,紙漿、紙及紙製品製造業,4
2022,臉顏,印刷及資料儲存媒體複製業,0
2022,臉顏,石油及煤製品製造業,3
2022,臉顏,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,13
2022,臉顏,其他化學製品製造業,7
2022,臉顏,藥品及醫用化學製品製造業,9
2022,臉顏,橡膠製品製造業,3
2022,臉顏,塑膠製品製造業,5
2022,臉顏,非金屬礦物製品製造業,5
2022,臉顏,基本金屬製造業,24
2022,臉顏,金屬製品製造業,18
2022,臉顏,電子零組件製造業,41
2022,臉顏,電腦、電子產品及光學製品製造業,12
