"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00000510","蘊農科技股份有限公司","臺北市大同區華陰街91號2樓之1","4050000","4050000"," ","1131022","臺北市大同區華陰街９１號２樓之１","011999,639099,723000,","26-MAR-26","","","","",""
"00001216","信實行銷股份有限公司","臺北市中山區中山北路2段45巷11號5樓","3000000","3000000"," ","1130927","臺北市中山區康樂里中山北路２段４５巷１１號５樓","731099,,,","26-MAR-26","","","","",""
"00001975","元森源有限公司","臺北市中山區松江路283號5樓","100000"," "," ","1131120","臺北市中山區松江里松江路２８３號５樓","524100,,,","26-MAR-26","","","","",""
"00007767","碩雅室內裝修工程有限公司","臺北市中山區長安東路2段171號8樓之2","160000"," "," ","1140303","臺北市中山區力行里長安東路２段１７１號８樓之２","434015,,,","26-MAR-26","","","","",""
"00009028","英芳生物科技股份有限公司","臺北市中正區忠孝東路2段46號2樓","100000000","10000000"," ","1130919","臺北市中正區幸福里忠孝東路２段４６號２樓","712999,760999,723000,","26-MAR-26","","","","",""
"00010382","豐光創能股份有限公司","臺北市信義區松仁路89號12樓之4","10000000","5000000"," ","1131108","臺北市信義區安康里松仁路８９號１２樓之４","339999,281099,433117,","26-MAR-26","","","","",""
"00012924","韋禕有限公司","臺北市松山區八德路3段12巷7弄14號1樓","100000"," "," ","1131114","臺北市松山區敦化里八德路３段１２巷７弄１４號１樓","456700,472999,,","26-MAR-26","","","","",""
"00018568","食萃股份有限公司","臺北市大同區長安西路230號1樓","1000000","1000000"," ","1130829","臺北市大同區長安西路２３０號１樓","454999,472999,,","26-MAR-26","","","","",""
"00018595","昕達能源股份有限公司","臺北市中山區復興北路2號11樓之8","1000000","10000"," ","1131204","臺北市中山區復興北路２號１１樓之８","281099,,,","26-MAR-26","","","","",""
"00019790","伊芯寵物有限公司","臺北市信義區和平東路3段361號1樓","300000"," "," ","1131213","臺北市信義區和平東路３段３６１號１樓","969021,,,","26-MAR-26","","","","",""
"00020706","瀚毓室內裝修設計有限公司","臺北市中山區明水路696號4樓之2","1000000"," "," ","1130813","臺北市中山區成功里明水路６９６號４樓之２","434015,,,","26-MAR-26","","","","",""
"00023128","茉妲思文創有限公司","臺北市松山區復興北路145號5樓","1000000"," "," ","1131009","臺北市松山區中正里復興北路１４５號５樓","903099,903011,903013,","26-MAR-26","","","","",""
"00027503","森元創新股份有限公司","臺北市士林區中山北路6段701號3樓","10000000","100000"," ","1131127","臺北市士林區天壽里中山北路６段７０１號３樓","702099,,,","26-MAR-26","","","","",""
"00031247","台灣艾斯蒂股份有限公司","臺北市大安區忠孝東路4段148號7樓","500000","500000"," ","1131017","臺北市大安區建倫里忠孝東路４段１４８號７樓","472921,472914,472913,","26-MAR-26","","","","",""
"00039803","展詣工程有限公司","臺北市士林區永平街80巷22號1樓","3000000"," "," ","1130912","臺北市士林區永平街８０巷２２號１樓","461111,469199,,","26-MAR-26","","","","",""
"00041245","利世方舟行銷股份有限公司","臺北市中山區長春路366號5樓","1500000","1500000"," ","1131204","臺北市中山區復華里長春路３６６號５樓","453112,669199,702099,","26-MAR-26","","","","",""
"00042933","勳華有限公司","臺北市松山區南京東路5段188號6樓之5","500000"," "," ","1131219","臺北市松山區南京東路５段１８８號６樓之５","453999,013099,813000,331299","26-MAR-26","","","","",""
"00045951","鋭智數位股份有限公司","臺北市松山區南京東路5段188號6樓之5","10000000","10000000"," ","1131017","臺北市松山區南京東路５段１８８號６樓之５","639099,483112,464112,702099","26-MAR-26","","","","",""
"00047515","立評營造有限公司","臺北市萬華區昆明街111號14樓之8","3600000"," "," ","1131206","臺北市萬華區西門里昆明街１１１號１４樓之８","439099,,,","26-MAR-26","","","","",""
"00048280","光宜芳苑五股份有限公司","臺北市信義區松高路1號10樓之1","100000000","100000"," ","1131126","臺北市信義區興雅里松高路１號１０樓之１","289099,281099,353011,","26-MAR-26","","","","",""
"00052333","永續樹企業有限公司","臺北市大安區忠孝東路4段126之16號","3000000"," "," ","1131216","臺北市大安區仁愛里忠孝東路４段１２６之１６號","820212,,,","26-MAR-26","","","","",""
"00053163","翊聖建設開發有限公司","臺北市萬華區西園路2段261巷20弄32號1樓","10000000"," "," ","1131224","臺北市萬華區錦德里西園路二段２６１巷２０弄３２號１樓","740100,,,","26-MAR-26","","","","",""
