"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00012993","鉅寶國際有限公司","臺北市松山區南京東路5段188號6樓之5","1000000"," "," ","1140110","臺北市松山區南京東路５段１８８號６樓之５","464111,649911,452000,","26-MAR-26","","","","",""
"00039803","展詣工程有限公司","臺北市士林區永平街80巷22號1樓","3000000"," "," ","1130912","臺北市士林區永平街８０巷２２號１樓","461111,469199,,","26-MAR-26","","","","",""
"00047515","立評營造有限公司","臺北市萬華區昆明街111號14樓之8","3600000"," "," ","1131206","臺北市萬華區西門里昆明街１１１號１４樓之８","439099,,,","26-MAR-26","","","","",""
"00053163","翊聖建設開發有限公司","臺北市萬華區西園路2段261巷20弄32號1樓","10000000"," "," ","1131224","臺北市萬華區錦德里西園路二段２６１巷２０弄３２號１樓","740100,,,","26-MAR-26","","","","",""
"00105578","巍豐有限公司","臺北市大安區光復南路102號4樓","1000000"," "," ","1131213","臺北市大安區華聲里光復南路１０２號４樓","381113,,,","26-MAR-26","","","","",""
"00119411","榮茂土地開發股份有限公司","臺北市中山區南京東路2段178號5樓","1000000","1000000"," ","1131021","臺北市中山區朱園里伊通街６５號２樓","469112,234012,669999,","26-MAR-26","","","","",""
"00156864","益達工程股份有限公司","臺北市松山區敦化北路207號10樓之1","50000","50000"," ","1131127","臺北市松山區敦化北路２０７號１０樓之１","439099,,,","26-MAR-26","","","","",""
"00187070","子發科技工程有限公司","臺北市大安區信義路4段26號5樓之1","1500000"," "," ","1140108","臺北市大安區住安里信義路４段２６號５樓之１","429099,,,","26-MAR-26","","","","",""
"00193988","寬家開發建築股份有限公司","臺北市大安區忠孝東路4段148號10樓之10","3600000","3600000"," ","1130829","臺北市大安區建倫里忠孝東路４段１４８號１０樓之１０","410013,410099,421000,429099","26-MAR-26","","","","",""
"00199147","和旺友比股份有限公司","臺北市內湖區行善路398號1樓","30000000","30000000"," ","1140217","臺北市內湖區湖元里行善路３９８號１樓","434013,461999,456213,456118","26-MAR-26","","","","",""
"00209617","權陽有限公司","臺北市大安區光復南路102號4樓","1000000"," "," ","1131213","臺北市大安區華聲里光復南路１０２號４樓","381113,,,","26-MAR-26","","","","",""
"00249890","宙元綠能股份有限公司","臺北市松山區民生東路4段54號8樓之8","10000000","10000000"," ","1140110","臺北市松山區民生東路４段５４號８樓之８","351000,,,","26-MAR-26","","","","",""
"00422000","臺陽股份有限公司","臺北市大安區新生南路3段4號3樓","90000000","90000000"," ","0390316","臺北市大安區龍坡里新生南路３段４號３樓","681112,,,","26-MAR-26","","","","","2024-11-27"
"02279803","明園實業股份有限公司","臺北市士林區德行西路40號1樓","500000000","88000000"," ","0740809","臺北市士林區德行里德行西路４０號１樓","461214,681112,,","26-MAR-26","","","","",""
"04217826","華聯水泥股份有限公司","臺北市士林區中山北路7段114巷33弄2之1號1樓","100000000","51000000"," ","0630208","臺北市士林區中山北路７段１１４巷３３弄２－１號１樓","461211,060014,060011,060099","26-MAR-26","","","","",""
"04228083","福誼企業股份有限公司","臺北市萬華區寶興街80巷49號1樓","1100000000","187500000"," ","0630703","臺北市萬華區錦德里寶興街８０巷４９號１樓","199099,382111,462099,","26-MAR-26","","","","",""
"04254342","欣蘭企業股份有限公司","臺北市南港區經貿二路135號9樓","268620000","80586000"," ","0641002","臺北市南港區經貿二路１３５號９樓","461999,464211,591199,451099","26-MAR-26","","","","",""
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓","60000000","60000000"," ","0620807","臺北市中山區松江路８２號３樓","060099,681111,681112,","26-MAR-26","","","","",""
"04439910","錦源水泥製品股份有限公司","臺北市中山區建國北路1段69號9樓","156000000","156000000"," ","0631125","臺北市中山區建國北路１段６９號９樓","233300,241211,239999,","26-MAR-26","","","","",""
"04890096","大增建設股份有限公司","臺北市文山區羅斯福路6段204號1樓","25000000","25000000"," ","0690611","臺北市文山區羅斯福路６段２０４號","060099,434011,461513,681112","26-MAR-26","","","","",""
"04976087","鼎宸營造有限公司","臺北市中山區中山北路2段59巷45號5樓之5","50000000"," "," ","0641009","臺北市中山區中山里中山北路２段５９巷４５號５樓之５","422015,439099,461513,431015","26-MAR-26","","","","",""
