"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00003903","陽躍管理顧問有限公司","臺北市信義區忠孝東路5段1之3號7樓","100000"," "," ","1140220","臺北市信義區興雅里忠孝東路五段１─３號７樓","702099,,,","26-MAR-26","","","","",""
"00006937","聯燿科技有限公司","臺北市信義區忠孝東路5段1之3號7樓","100000"," "," ","1140121","臺北市信義區興雅里忠孝東路五段１─３號７樓","702099,464920,,","26-MAR-26","","","","",""
"00010382","豐光創能股份有限公司","臺北市信義區松仁路89號12樓之4","10000000","5000000"," ","1131108","臺北市信義區安康里松仁路８９號１２樓之４","339999,281099,433117,","26-MAR-26","","","","",""
"00017195","川石能源股份有限公司","臺北市中山區植福路308號5樓之2","100000000","5000000"," ","1140207","臺北市中山區金泰里植福路３０８號五樓之２","351000,,,","26-MAR-26","","","","",""
"00018595","昕達能源股份有限公司","臺北市中山區復興北路2號11樓之8","1000000","10000"," ","1131204","臺北市中山區復興北路２號１１樓之８","281099,,,","26-MAR-26","","","","",""
"00023767","林境永續股份有限公司","臺北市中山區南京東路2段111號6樓","400000","400000"," ","1140305","臺北市中山區中央里南京東路２段１１１號６樓","381112,381113,760999,","26-MAR-26","","","","",""
"00026321","和鋕科技股份有限公司","臺北市大安區復興南路1段126巷1號2樓之17","5550000","5550000"," ","1131210","臺北市大安區誠安里復興南路１段１２６巷１號２樓之１７","760999,,,","26-MAR-26","","","","",""
"00030129","安能電業股份有限公司","臺北市南港區三重路19之9號5樓","35000000","7500000"," ","1130920","臺北市南港區三重路１９之９號５樓","351000,712999,340099,433199","26-MAR-26","","","","",""
"00035243","台灣豐通能源股份有限公司","臺北市信義區松仁路101號5樓","5000000","5000000"," ","1140220","臺北市信義區安康里松仁路１０１號５樓","702099,,,","26-MAR-26","","","","",""
"00039819","旺文生投資有限公司","臺北市內湖區石潭路27號7樓之6","4100000"," "," ","1131118","臺北市內湖區石潭里石潭路２７號７樓之６","649911,639099,631299,620900","26-MAR-26","","","","",""
"00040843","喬斯科技股份有限公司","臺北市信義區基隆路1段432號7樓之7","1000000","1000000"," ","1131209","臺北市信義區基隆路１段４３２號７樓之７","474199,,,","26-MAR-26","","","","",""
"00042510","探索世界投資控股股份有限公司","臺北市松山區南京東路5段206號3樓之1","20000000","1000000"," ","1131016","臺北市松山區南京東路５段２０６號３樓之１","649911,702099,,","26-MAR-26","","","","",""
"00048280","光宜芳苑五股份有限公司","臺北市信義區松高路1號10樓之1","100000000","100000"," ","1131126","臺北市信義區興雅里松高路１號１０樓之１","289099,281099,353011,","26-MAR-26","","","","",""
"00052002","坤豐綠能股份有限公司","臺北市松山區民權東路3段178號7樓","1000000","1000000"," ","1140304","臺北市松山區民權東路３段１７８號７樓","281099,,,","26-MAR-26","","","","",""
"00053380","光宜芳苑六股份有限公司","臺北市信義區松高路1號10樓之1","100000000","100000"," ","1131126","臺北市信義區興雅里松高路１號１０樓之１","353011,281099,,","26-MAR-26","","","","",""
"00054347","光宜芳苑一股份有限公司","臺北市信義區松高路1號10樓之1","100000000","100000"," ","1131126","臺北市信義區興雅里松高路１號１０樓之１","289099,281099,353011,","26-MAR-26","","","","",""
"00069067","本進能源股份有限公司","臺北市大安區敦化南路2段104號24樓","100000000","5000000"," ","1140225","臺北市大安區群賢里敦化南路２段１０４號２４樓","340015,,,","26-MAR-26","","","","",""
"00073816","太廈綠能股份有限公司","臺北市大安區大安路1段31巷41號1樓","50000000","9000000"," ","1131226","臺北市大安區光武里大安路１段３１巷４１號１樓","760999,351000,,","26-MAR-26","","","","",""
"00077974","金富陽能源股份有限公司","臺北市南港區園區街3號16號之1","2500000","2500000"," ","1131008","臺北市南港區園區街３號１６樓之１","649911,760999,340099,433199","26-MAR-26","","","","",""
"00084031","瑞軒綠能科技有限公司","臺北市大安區復興南路2段237號13樓","300000"," "," ","1130815","臺北市大安區群賢里復興南路二段２３７號１３樓","281099,340015,465311,456199","26-MAR-26","","","","",""
"00087023","青鈺股份有限公司","臺北市大同區重慶北路2段48號9樓之3","70001000","70001000"," ","1130919","臺北市大同區朝陽里重慶北路二段４８號９樓之３","351000,681112,,","26-MAR-26","","","","",""
"00088212","德威鑫盈有限公司","臺北市松山區光復北路95號5樓","15000000"," "," ","1130909","臺北市松山區光復北路９５號５樓","464920,464922,464999,","26-MAR-26","","","","",""
"00098653","晶科綠能有限公司","臺北市信義區基隆路1段143號11樓之4","100000"," "," ","1131127","臺北市信義區基隆路１段１４３號１１樓之４","464920,,,","26-MAR-26","","","","",""
"00105578","巍豐有限公司","臺北市大安區光復南路102號4樓","1000000"," "," ","1131213","臺北市大安區華聲里光復南路１０２號４樓","381113,,,","26-MAR-26","","","","",""
"00108651","靖維顧問有限公司","臺北市大同區南京西路62號7樓","1000000"," "," ","1140124","臺北市大同區建泰里南京西路６２號７樓","702099,,,","26-MAR-26","","","","",""
"00115230","宇豐綠能股份有限公司","臺北市松山區民生東路3段131號5樓","180270000","180270000"," ","1131025","臺北市松山區民有里民生東路３段１３１號５樓","353011,351000,,","26-MAR-26","","","","",""
"00115415","久陽有限公司","臺北市中正區博愛路60號8樓","6000000"," "," ","1131004","臺北市中正區博愛路６０號８樓","353011,,,","26-MAR-26","","","","",""
"00116511","泊鈺日能股份有限公司","臺北市內湖區民權東路6段180巷6號4樓","100000","100000"," ","1131204","臺北市內湖區寶湖里民權東路６段１８０巷６號４樓","351000,,,","26-MAR-26","","","","",""
"00119284","美好健康科技股份有限公司","臺北市大同區重慶北路2段123號8樓之1","8800000","8000000"," ","1131016","臺北市大同區重慶北路２段１２３號８樓之１","620299,475199,457199,620199","26-MAR-26","","","","",""
"00120070","晶科能源科技有限公司","臺北市信義區基隆路1段143號11樓之4","100000"," "," ","1131127","臺北市信義區基隆路１段１４３號１１樓之４","464920,,,","26-MAR-26","","","","",""
"00121036","和旭電力服務股份有限公司","臺北市信義區忠孝東路5段68號14樓","1000000","1000000"," ","1131107","臺北市信義區忠孝東路５段６８號１４樓","351000,,,","26-MAR-26","","","","",""
"00121373","向陽萬金光電股份有限公司","臺北市大安區敦化南路2段99號12樓","1400000000","65000000"," ","1130905","臺北市大安區義安里敦化南路２段９９號１２樓","351000,,,","26-MAR-26","","","","",""
"00123105","致達能源股份有限公司","臺北市中山區復興北路2號11樓之8","1000000","10000"," ","1131202","臺北市中山區朱崙里復興北路２號１１樓之８","281099,,,","26-MAR-26","","","","",""
"00125315","金富鈅生活科技有限公司","臺北市中正區懷寧街76號1樓","2000000"," "," ","1130924","臺北市中正區懷寧街７６號１樓","432000,089199,089999,","26-MAR-26","","","","",""
"00142573","尹源投資有限公司","臺北市內湖區石潭路27號7樓之6","3400000"," "," ","1131118","臺北市內湖區石潭路２７號７樓之６","649911,639099,631299,620900","26-MAR-26","","","","",""
"00148295","陸風能源投資股份有限公司","臺北市大安區敦化南路2段99號32樓","200000000","53500000"," ","1131008","臺北市大安區義安里敦化南路２段９９號３２樓","351000,,,","26-MAR-26","","","","",""
"00149626","福灣數位資融股份有限公司","臺北市大同區承德路1段40號12樓","20000000","20000000"," ","1131205","臺北市大同區承德路１段４０號１２樓","649999,669999,,","26-MAR-26","","","","",""
"00153579","愛綠能有限公司","臺北市大安區羅斯福路3段241號12樓","200000"," "," ","1140117","臺北市大安區大學里羅斯福路３段２４１號１２樓","289099,351000,,","26-MAR-26","","","","",""
"00155653","昌能科技股份有限公司","臺北市內湖區成功路4段188號11樓之18","20000000","20000000"," ","1140225","臺北市內湖區內湖里成功路４段１８８號１１樓之１８","351000,760999,433199,339999","26-MAR-26","","","","",""
"00163577","光宜芳苑二股份有限公司","臺北市信義區松高路1號10樓之1","100000000","100000"," ","1131126","臺北市信義區興雅里松高路１號１０樓之１","289099,281099,353011,","26-MAR-26","","","","",""
"00166672","田鈺企業有限公司","臺北市松山區南京東路5段70號5樓之2","1000000"," "," ","1140108","臺北市松山區南京東路５段７０號５樓之２","433900,454811,,","26-MAR-26","","","","",""
"00175356","昕測科技有限公司","臺北市中山區林森北路100號9樓之7","5500000"," "," ","1131118","臺北市中山區正得里林森北路１００號９樓之７","351000,456199,712999,353011","26-MAR-26","","","","",""
"00176290","鼎喬資訊有限公司","臺北市中山區中山北路2段162號10樓","5000000"," "," ","1131206","臺北市中山區集英里中山北路２段１６２號１０樓","483112,670012,631299,","26-MAR-26","","","","",""
"00177690","拓邦綠能顧問有限公司","臺北市中正區南陽街1號5樓","50000"," "," ","1140221","臺北市中正區黎明里南陽街１號５樓","461914,461999,,","26-MAR-26","","","","",""
"00180105","向陽萬德光電股份有限公司","臺北市大安區敦化南路2段99號12樓","1400000000","65000000"," ","1130905","臺北市大安區義安里敦化南路２段９９號１２樓","351000,,,","26-MAR-26","","","","",""
"00181625","鼎峯科技有限公司","臺北市松山區南京東路3段287號10樓","1000000"," "," ","1131025","臺北市松山區南京東路３段２８７號１０樓","433117,433212,,","26-MAR-26","","","","",""
"00183102","天盛國際有限公司","臺北市信義區忠孝東路5段1之8號2樓","1500000"," "," ","1131210","臺北市信義區興雅里忠孝東路五段１─８號２樓","465314,,,","26-MAR-26","","","","",""
