"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00001216","信實行銷股份有限公司","臺北市中山區中山北路2段45巷11號5樓","3000000","3000000"," ","1130927","臺北市中山區康樂里中山北路２段４５巷１１號５樓","731099,,,","26-MAR-26","","","","",""
"00001975","元森源有限公司","臺北市中山區松江路283號5樓","100000"," "," ","1131120","臺北市中山區松江里松江路２８３號５樓","524100,,,","26-MAR-26","","","","",""
"00002019","銀海貿易有限公司","臺北市中山區南京東路2段54號6樓","800000"," "," ","1140115","臺北市中山區興亞里南京東路２段５４號６樓","454999,461515,452000,451099","26-MAR-26","","","","",""
"00003381","亮愛有限公司","臺北市大安區信義路4段1號2樓","500000"," "," ","1140123","臺北市大安區仁慈里信義路４段１號２樓","456112,434013,,","26-MAR-26","","","","",""
"00007957","泉達有限公司","臺北市信義區基隆路1段141號13樓之3","1000000"," "," ","1130919","臺北市信義區基隆路１段１４１號１３樓之３","494099,,,","26-MAR-26","","","","",""
"00008739","李家宴股份有限公司","臺北市中山區民族東路190號3樓","3000000","3000000"," ","1131219","臺北市中山區新喜里民族東路１９０號３樓","454400,472211,472212,","26-MAR-26","","","","",""
"00008962","逐馬軒電商有限公司","臺北市大安區復興南路2段173之1號6樓之1","1000000"," "," ","1130930","臺北市大安區群賢里復興南路２段１７３─１號６樓之１","487199,452000,,","26-MAR-26","","","","",""
"00012213","源亨創意有限公司","臺北市中山區南京東路2段101號11樓","50000"," "," ","1131209","臺北市中山區南京東路２段１０１號１１樓","454612,472913,,","26-MAR-26","","","","",""
"00013058","驛站不動產管理顧問有限公司","臺北市大同區甘谷街26號5樓","500000"," "," ","1131120","臺北市大同區甘谷街２６號５樓","524100,,,","26-MAR-26","","","","",""
"00014394","電利汽車股份有限公司","臺北市松山區復興北路181號9樓之1","28000000","28000000"," ","1131119","臺北市松山區松基里復興北路１８１號９樓之１","465111,465311,,","26-MAR-26","","","","",""
"00014900","艾特仕股份有限公司","臺北市大安區忠孝東路4段169號4樓之3","10000000","2000000"," ","1131203","臺北市大安區建安里忠孝東路４段１６９號４樓之３","529099,,,","26-MAR-26","","","","",""
"00015372","謙合國際開發股份有限公司","臺北市文山區羅斯福路6段190號","3000000","3000000"," ","1131014","臺北市文山區羅斯福路６段１９０號","422099,429099,410014,433111","26-MAR-26","","","","",""
"00015963","恆翔物流科技股份有限公司","臺北市大安區羅斯福路3段125號3樓之6","5000000","2000000"," ","1131227","新北市汐止區復興里新台五路一段７７號十九樓之７","523112,524999,,","26-MAR-26","","","","",""
