"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00000949","五正永續土地開發顧問有限公司","新北市三峽區安坑37之8號(1樓)","1000000"," "," ","1131209","新北市三峽區安坑里安坑３７之８號（１樓）","670012,434011,020011,561115","26-MAR-26","","","","",""
"00006182","練益成興業股份有限公司","新北市淡水區民族路6號","1000000","1000000"," ","1131216","新北市淡水區民族路６號","681112,,,","26-MAR-26","","","","",""
"00010236","能力資源有限公司","新北市中和區忠孝街58巷24號（1樓）","1000000"," "," ","1131125","新北市中和區華南里忠孝街５８巷２４號","702099,639099,,","26-MAR-26","","","","",""
"00010518","築夢緣空間創意工程有限公司","新北市淡水區沙崙路131巷7弄11號","500000"," "," ","1131129","新北市淡水區沙崙路１３１巷７弄１１號","434011,,,","26-MAR-26","","","","",""
"00014752","木億富苑室內裝修有限公司","新北市三重區新北大道1段123號11樓","1000000"," "," ","1131218","新北市三重區光陽里０３０鄰新北大道１段１２３號１１樓","434011,434015,,","26-MAR-26","","","","",""
"00014818","佩倫設計有限公司","新北市中和區安平路194號","1000000"," "," ","1140221","新北市中和區安樂里安平路１９４號","434011,731099,,","26-MAR-26","","","","",""
"00015231","星瑞工程有限公司","新北市板橋區漢生東路193巷48號2樓","250000"," "," ","1131203","新北市板橋區深丘里漢生東路１９３巷４８號２樓","433111,434011,,","26-MAR-26","","","","",""
"00015605","宏昀營造工程股份有限公司","新北市板橋區華江一路592號","3600000","3600000"," ","1131024","新北市板橋區溪頭里華江一路５９２號","410013,,,","26-MAR-26","","","","",""
"00016127","歐悅飼料股份有限公司","新北市新莊區新北大道3段7號14樓之3","600000000","1000000"," ","1140203","新北市新莊區昌平里００１鄰新北大道３段７號１４樓之３","087000,,,","26-MAR-26","","","","",""
"00018005","幸福時代股份有限公司","新北市汐止區康寧街169巷8之6號2樓","2000000","2000000"," ","1131004","新北市汐止區北山里康寧街１６９巷８之６號２樓","812100,812911,812999,381111","26-MAR-26","","","","",""
"00018053","沅森食品國際有限公司","新北市新莊區新崑路131號4樓","100000"," "," ","1130919","新北市新莊區西盛里新崑路１３１號４樓","454999,,,","26-MAR-26","","","","",""
"00020712","啟舜有限公司","新北市汐止區大同路1段185號13樓","100000"," "," ","1140225","新北市汐止區樟樹里大同路一段１８５號十三樓","032211,032212,351000,433212","26-MAR-26","","","","",""
"00023387","彡品室內裝修設計工程有限公司","新北市中和區連城路249巷4號2樓","3000000"," "," ","1131211","新北市中和區連城路２４９巷４號２樓","434011,813000,,","26-MAR-26","","","","",""
"00026997","暖暖趣股份有限公司","新北市新店區安興路127之6號12樓","12000000","12000000"," ","1131126","新北市新店區安和里安興路１２７之６號１２樓","702099,879200,782000,","26-MAR-26","","","","",""
"00027150","上選工程有限公司","新北市新莊區中港路310號10樓","5000000"," "," ","1130829","新北市新莊區中華里中港路３１０號１０樓","812999,782000,434011,","26-MAR-26","","","","",""
"00030845","瑞通能源股份有限公司","新北市新店區中正路558號5樓","10000000","10000000"," ","1140109","新北市新店區復興里中正路５５８號５樓","281099,273099,269999,271999","26-MAR-26","","","","",""
"00036502","育晟開發有限公司","新北市中和區景平路307號(1樓)","2000000"," "," ","1131225","新北市新莊區西盛里樹新路２０６號５樓","434011,,,","26-MAR-26","","","","",""
"00038895","維誠工程有限公司","新北市新店區民權路42巷47弄6號5樓","200000"," "," ","1130814","新北市新店區復興里民權路４２巷４７弄６號５樓","813000,,,","26-MAR-26","","","","",""
"00040766","崧泰股份有限公司","新北市三重區溪尾街94號7樓","2500000","2500000"," ","1131011","新北市三重區福隆里溪尾街９４號７樓","681111,,,","26-MAR-26","","","","",""
"00045262","地鎵企業有限公司","新北市中和區連城路64之1號","500000"," "," ","1140107","新北市中和區連城路６４－１號","464999,462099,,","26-MAR-26","","","","",""
"00045782","鴻澄農業有限公司","新北市新莊區建興街63號","100000"," "," ","1131028","新北市新莊區建興街６３號","464317,,,","26-MAR-26","","","","",""
"00047254","墨迦室內裝修設計有限公司","新北市八里區文昌七街181號","100000"," "," ","1131118","新北市八里區文昌七街１８１號","434011,,,","26-MAR-26","","","","",""
"00048036","鑫馳工程有限公司","新北市汐止區樟樹一路99巷2弄21號2樓","200000"," "," ","1130924","新北市汐止區忠孝里樟樹一路９９巷２弄２１號二樓","439099,524999,,","26-MAR-26","","","","",""
"00053918","大有創思文化事業有限公司","新北市板橋區三民路2段33號14樓","500000"," "," ","1140204","新北市板橋區富貴里三民路２段３３號１４樓","910399,901099,903019,","26-MAR-26","","","","",""
"00064041","菜肉多股份有限公司","新北市三重區中正北路317巷36號","3600000","3600000"," ","1130920","新北市三重區永發里中正北路３１７巷３６號","471916,471112,472999,471999","26-MAR-26","","","","",""
