"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00011039","麒蒼環保有限公司","新北市樹林區大安路630號5樓","200000"," "," ","1140212","新北市樹林區東昇里大安路６３０號５樓","461999,434011,433212,381111","26-MAR-26","","","","",""
"00015345","筑城工程顧問有限公司","新北市淡水區原德路1號地下層","300000"," "," ","1131016","新北市淡水區原德路１號地下層","439099,,,","26-MAR-26","","","","",""
"00015605","宏昀營造工程股份有限公司","新北市板橋區華江一路592號","3600000","3600000"," ","1131024","新北市板橋區溪頭里華江一路５９２號","410013,,,","26-MAR-26","","","","",""
"00023387","彡品室內裝修設計工程有限公司","新北市中和區連城路249巷4號2樓","3000000"," "," ","1131211","新北市中和區連城路２４９巷４號２樓","434011,813000,,","26-MAR-26","","","","",""
"00036502","育晟開發有限公司","新北市中和區景平路307號(1樓)","2000000"," "," ","1131225","新北市新莊區西盛里樹新路２０６號５樓","434011,,,","26-MAR-26","","","","",""
"00056555","采樸環保服務有限公司","新北市中和區華新街109巷42號1樓之2","5000000"," "," ","1130913","新北市中和區華新街１０９巷４２號１樓之２","381111,382111,,","26-MAR-26","","","","",""
"00069643","鑫旺桂工程有限公司","新北市三重區中央南路95巷3號(1樓)","500000"," "," ","1130820","新北市三重區福利里中央南路９５巷３號（１樓）","431019,469912,485212,","26-MAR-26","","","","",""
"00081230","捷盛環工有限公司","新北市平溪區嶺腳寮71之1號","500000"," "," ","1131015","新北市平溪區嶺腳寮７１之１號","381113,461211,461214,","26-MAR-26","","","","",""
"00102777","北敦企業股份有限公司","新北市永和區民權路39號2樓","6000000","6000000"," ","1130925","新北市永和區民權里民權路３９號２樓","434011,434013,681112,","26-MAR-26","","","","",""
"00109201","霸山工程有限公司","新北市三重區新北大道1段129號4樓","1000000"," "," ","1140226","新北市三重區光陽里０３０鄰新北大道１段１２９號４樓","431015,410099,,","26-MAR-26","","","","",""
"00127361","永強建材有限公司","新北市蘆洲區中原路12巷32號6樓","10000000"," "," ","1131101","新北市蘆洲區正義里中原路１２巷３２號６樓","461999,,,","26-MAR-26","","","","",""
"00128024","震上工程有限公司","新北市土城區青雲路295巷16弄8號","1000000"," "," ","1030729","新北市土城區清水里青雲路２９５巷１６弄８號","461999,469925,,","26-MAR-26","","","","",""
"00128740","威遠長流國際貿易有限公司","新北市三重區新北大道1段123號11樓","10000"," "," ","1130909","新北市三重區光陽里０３０鄰新北大道１段１２３號１１樓","454399,464211,434012,434011","26-MAR-26","","","","",""
"00131843","銓欣機械有限公司","新北市板橋區大觀路2段265巷68號2樓","200000"," "," ","1131211","新北市板橋區福安里大觀路２段２６５巷６８號二樓","381113,434011,381114,","26-MAR-26","","","","",""
"00150355","宏垣有限公司","新北市五股區登林路81之10號","300000"," "," ","1131121","新北市五股區福德里登林路８１之１０號","461214,813000,060014,","26-MAR-26","","","","",""
"00152179","陞毅有限公司","新北市板橋區新府路90號8樓","1000000"," "," ","1140205","新北市板橋區深丘里新府路９０號八樓","433111,,,","26-MAR-26","","","","",""
"00184947","捷陞營造有限公司","新北市新店區廣興路7之10號","3600000"," "," ","1131105","新北市新店區廣興里廣興路７－１０號","410013,410099,421000,429099","26-MAR-26","","","","",""
