"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00010658","鴻耀自動化工程股份有限公司","新北市三重區中正北路514號7樓","1000000","1000000"," ","1131018","新北市三重區大有里中正北路５１４號７樓","461514,321999,464211,464999","26-MAR-26","","","","",""
"00011657","艾吉能源股份有限公司","新北市汐止區新台五路1段99號8樓之2","50000","50000"," ","1131206","新北市汐止區復興里新台五路一段９９號八樓之２","351000,353011,,","26-MAR-26","","","","",""
"00016029","海洋科技工程股份有限公司","新北市新莊區後港一路17巷1號6樓","3000000","3000000"," ","1131213","新北市新莊區後德里後港一路１７巷１號６樓","433111,434011,434099,456199","26-MAR-26","","","","",""
"00020712","啟舜有限公司","新北市汐止區大同路1段185號13樓","100000"," "," ","1140225","新北市汐止區樟樹里大同路一段１８５號十三樓","032211,032212,351000,433212","26-MAR-26","","","","",""
"00030845","瑞通能源股份有限公司","新北市新店區中正路558號5樓","10000000","10000000"," ","1140109","新北市新店區復興里中正路５５８號５樓","281099,273099,269999,271999","26-MAR-26","","","","",""
"00035911","廣灴國際貿易有限公司","新北市永和區中正路588號7樓之18","5000000"," "," ","1131028","新北市永和區中正路５８８號７樓之１８","464211,269999,,","26-MAR-26","","","","",""
"00036502","育晟開發有限公司","新北市中和區景平路307號(1樓)","2000000"," "," ","1131225","新北市新莊區西盛里樹新路２０６號５樓","434011,,,","26-MAR-26","","","","",""
"00037349","旭源電能工程股份有限公司","新北市汐止區大同路1段175號5樓","500000","500000"," ","1140108","新北市汐止區樟樹里大同路一段１７５號五樓","281099,,,","26-MAR-26","","","","",""
"00038213","達融管理顧問有限公司","新北市新店區北新路2段262號3樓之3","100000"," "," ","1131016","新北市新店區寶興里北新路２段２６２號３樓之３","702099,,,","26-MAR-26","","","","",""
"00040409","釜忠有限公司","新北市蘆洲區光華路46巷5號3樓","1000000"," "," ","1131001","新北市蘆洲區光華里光華路４６巷５號３樓","433199,,,","26-MAR-26","","","","",""
"00040766","崧泰股份有限公司","新北市三重區溪尾街94號7樓","2500000","2500000"," ","1131011","新北市三重區福隆里溪尾街９４號７樓","681111,,,","26-MAR-26","","","","",""
"00041370","瑾祈實業有限公司","新北市淡水區中正東路2段69之7號10樓","500000"," "," ","1131121","新北市淡水區中正東路２段６９之７號１０樓","458211,476211,,","26-MAR-26","","","","",""
