"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00004234","將來租賃股份有限公司","新北市新店區北新路2段262號3樓之3","15000000","15000000"," ","1131021","新北市新店區寶興里北新路２段２６２號３樓之３","471999,,,","26-MAR-26","","","","",""
"00004500","財企有限公司","新北市樹林區太平路60巷3號","500000"," "," ","1130826","新北市樹林區大同里太平路６０巷３號","782000,465112,951199,","26-MAR-26","","","","",""
"00005780","敬柏國際股份有限公司","新北市汐止區康寧街163號4樓","10000000","10000000"," ","1131105","新北市汐止區北山里康寧街１６３號四樓","089499,089199,089211,089999","26-MAR-26","","","","",""
"00009499","金瘦有限公司","新北市板橋區長安街138巷1弄116號(1樓)","530000"," "," ","1140224","新北市板橋區海山里長安街１３８巷１弄１１６號（１樓）","454914,681115,681211,689113","26-MAR-26","","","","",""
"00010720","丞德物流行銷有限公司","新北市土城區自由街15號(1樓)","5000000"," "," ","1131014","新北市土城區沛陂里自由街１５號（１樓）","530100,454999,,","26-MAR-26","","","","",""
"00012446","百豐實業有限公司","新北市土城區仁愛路54巷3號","300000"," "," ","1131219","新北市土城區仁愛路５４巷３號","464399,464211,281099,","26-MAR-26","","","","",""
"00014562","墨顏有限公司","新北市新店區安興路127之13號8樓","300000"," "," ","1131115","新北市新店區安和里安興路１２７之１３號８樓","452000,,,","26-MAR-26","","","","",""
"00015458","翔勝科技數位有限公司","新北市新店區北宜路2段451號","200000"," "," ","1130923","新北市新店區員潭里北宜路２段４５１號","433112,456199,464299,","26-MAR-26","","","","",""
"00015823","好室產業有限公司","新北市新店區北新路2段262號3樓之3","100000"," "," ","1131101","新北市新店區寶興里北新路２段２６２號３樓之３","452000,471999,,","26-MAR-26","","","","",""
"00016127","歐悅飼料股份有限公司","新北市新莊區新北大道3段7號14樓之3","600000000","1000000"," ","1140203","新北市新莊區昌平里００１鄰新北大道３段７號１４樓之３","087000,,,","26-MAR-26","","","","",""
"00017224","游不可及體育有限公司","新北市三重區新北大道1段123號11樓","1000000"," "," ","1140117","新北市三重區光陽里０３０鄰新北大道１段１２３號１１樓","859313,,,","26-MAR-26","","","","",""
"00018053","沅森食品國際有限公司","新北市新莊區新崑路131號4樓","100000"," "," ","1130919","新北市新莊區西盛里新崑路１３１號４樓","454999,,,","26-MAR-26","","","","",""
"00019258","久泰智慧資本有限公司","新北市永和區永和路2段57號4樓","200000"," "," ","1131218","新北市永和區信義里永和路２段５７號４樓","485311,740912,820999,","26-MAR-26","","","","",""
"00024920","寶利開發建設股份有限公司","新北市中和區南山路260之1號","29000000","5100000"," ","1130823","新北市中和區壽南里南山路２６０－１號","524100,681111,681112,","26-MAR-26","","","","",""
"00025012","源利實業有限公司","新北市土城區金城路3段215號2樓","3000000"," "," ","1131206","新北市土城區延祿里金城路三段２１５號２樓","439014,820914,,","26-MAR-26","","","","",""
"00027671","嘉揚物流有限公司","新北市汐止區新台五路1段81號9樓","1000000"," "," ","1130927","新北市汐止區復興里新台五路一段８１號九樓","529099,530100,820914,","26-MAR-26","","","","",""
"00029501","光碩工程有限公司","新北市八里區中山路1段398巷20號9樓","2000000"," "," ","1130916","新北市八里區中山路１段３９８巷２０號９樓","433111,,,","26-MAR-26","","","","",""
"00030253","義居雅舍股份有限公司","新北市新莊區昌德街36號10樓","3880000","3880000"," ","1130815","新北市新莊區昌平里昌德街３６號１０樓","456211,474211,,","26-MAR-26","","","","",""
"00031957","通予有限公司","新北市蘆洲區民族路22號(1樓)","100000"," "," ","1131028","新北市蘆洲區仁德里民族路２２號（１樓）","530100,,,","26-MAR-26","","","","",""
"00033879","青見此木設計有限公司","新北市三重區六張街126巷20號6樓","200000"," "," ","1131118","新北市三重區福安里六張街１２６巷２０號６樓","591199,591111,591200,","26-MAR-26","","","","",""
"00036502","育晟開發有限公司","新北市中和區景平路307號(1樓)","2000000"," "," ","1131225","新北市新莊區西盛里樹新路２０６號５樓","434011,,,","26-MAR-26","","","","",""
"00036812","勁全力企業有限公司","新北市板橋區金門街358巷11號2樓之1","100000"," "," ","1130923","新北市板橋區溪福里金門街３５８巷１１號２樓之１","433212,433117,433199,524100","26-MAR-26","","","","",""
"00038213","達融管理顧問有限公司","新北市新店區北新路2段262號3樓之3","100000"," "," ","1131016","新北市新店區寶興里北新路２段２６２號３樓之３","702099,,,","26-MAR-26","","","","",""
"00039579","英明工程有限公司","新北市八里區文昌七街181號","300000"," "," ","1130916","新北市八里區文昌七街１８１號","439099,,,","26-MAR-26","","","","",""
"00040225","寶昱數位科技有限公司","新北市新店區安和路3段159號","100000"," "," ","1130821","新北市新店區永平里安和路３段１５９號","464111,464299,610999,","26-MAR-26","","","","",""
"00044171","阿布思生活股份有限公司","新北市三重區新北大道1段123號11樓","5000000","2500000"," ","1131009","新北市三重區光陽里０３０鄰新北大道１段１２３號１１樓","464111,620900,,","26-MAR-26","","","","",""
"00045299","樺聿有限公司","新北市新莊區中華路2段7號6樓","1000000"," "," ","1131112","新北市新莊區中華路２段７號６樓","782000,,,","26-MAR-26","","","","",""
"00046059","璟紅彈樂有限公司","新北市淡水區新市二路3段120號2樓","500000"," "," ","1131118","新北市淡水區新市二路３段１２０號２樓","458314,476314,,","26-MAR-26","","","","",""
"00046972","潤烽國際有限公司","新北市土城區日和街31號(1樓)","5000000"," "," ","1131030","新北市土城區日和里日和街３１號（１樓）","484112,465311,484311,","26-MAR-26","","","","",""
"00048036","鑫馳工程有限公司","新北市汐止區樟樹一路99巷2弄21號2樓","200000"," "," ","1130924","新北市汐止區忠孝里樟樹一路９９巷２弄２１號二樓","439099,524999,,","26-MAR-26","","","","",""
"00056801","承瑩工程有限公司","新北市新莊區豐年街124巷24號(1樓)","3000000"," "," ","1131001","新北市新莊區豐年里豐年街１２４巷２４號（１樓）","422017,433212,,","26-MAR-26","","","","",""
"00060208","安翊事業有限公司","新北市三重區電信街89號5樓之6","100000"," "," ","1131009","新北市三重區平和里電信街８９號５樓之６","473999,,,","26-MAR-26","","","","",""
"00062557","綵苑設計有限公司","新北市新店區檳榔路36巷5號2樓","1000000"," "," ","1131129","新北市新店區文明里檳榔路３６巷５號２樓","740100,434011,740911,711111","26-MAR-26","","","","",""
"00063406","中福汽車貨運股份有限公司","新北市汐止區福安街20巷32號1樓","10000000","10000000"," ","0501122","新北市汐止區秀峰里福安街２０巷３２號１樓","494099,,,","26-MAR-26","","","","",""
"00063541","玄聖通運有限公司","新北市土城區中央路2段278巷5弄5號","25000000"," "," ","1131112","新北市土城區員仁里中央路２段２７８巷５弄５號","529099,494099,,","26-MAR-26","","","","",""
"00065533","海納天際有限公司","新北市新莊區中華路2段7號6樓","2000000"," "," ","1131211","新北市新莊區中華路２段７號６樓","702099,,,","26-MAR-26","","","","",""
"00068004","台灣寶崴海事工程股份有限公司","新北市土城區中央路4段49號","30000000","30000000"," ","1130830","新北市土城區頂埔里中央路４段４９號","433117,429011,,","26-MAR-26","","","","",""
"00068763","飛陽音響有限公司","新北市汐止區新台五路1段99號22樓之2","5000000"," "," ","1130906","新北市汐止區復興里新台五路一段９７號十四樓之８","903099,,,","26-MAR-26","","","","",""
"00069355","元順建設有限公司","新北市三重區永安北路1段17巷24之1號","5000000"," "," ","1131105","新北市三重區永順里永安北路１段１７巷２４之１號","670012,434011,,","26-MAR-26","","","","",""
"00073359","鼎辰數能股份有限公司","新北市汐止區新台五路1段95號20樓之6","60000000","60000000"," ","1131204","新北市汐止區復興里新台五路一段９５號二十樓之６","269999,281099,,","26-MAR-26","","","","",""
"00075862","春廣企業股份有限公司","新北市永和區永和路2段57號7樓","10000000","10000000"," ","1140226","新北市永和區信義里永和路２段５７號７樓","530100,,,","26-MAR-26","","","","",""
"00076736","鑫盛欣業有限公司","新北市樹林區育英街143號(1樓)","1000000"," "," ","1130820","新北市樹林區育英里育英街１４３號（１樓）","454999,452000,,","26-MAR-26","","","","",""
"00078262","特萊斯興業股份有限公司","新北市八里區龍米路1段198號6樓之8","12000000","12000000"," ","1130830","新北市八里區龍米路１段１９８號６樓之８","681113,,,","26-MAR-26","","","","",""
"00078994","乙瑄科技有限公司","新北市板橋區光正街67號7樓","6100000"," "," ","1131030","新北市板橋區漢生里光正街６７號７樓","524100,465311,,","26-MAR-26","","","","",""
"00079023","國慶雜貨有限公司","新北市板橋區板新路57號11樓之2","100000"," "," ","1130823","新北市板橋區長安里板新路５７號１１樓之２","454111,454112,474999,","26-MAR-26","","","","",""
"00079918","瀅宸有限公司","新北市三重區大同北路54巷7號","1000000"," "," ","1131119","新北市三重區國隆里大同北路５４巷７號","473211,,,","26-MAR-26","","","","",""
"00080041","統甄有限公司","新北市新店區北新路2段262號3樓之3","500000"," "," ","1130813","新北市新店區寶興里北新路２段２６２號３樓之３","559099,,,","26-MAR-26","","","","",""
"00082505","永雄物業管理顧問有限公司","新北市土城區明德路2段105號","100000"," "," ","1131220","新北市土城區明德里明德路２段１０５號","812100,,,","26-MAR-26","","","","",""
"00089839","玖久科技實業有限公司","新北市林口區竹林路57號","1000000"," "," ","1131216","新北市林口區西林里竹林路５７號","639099,631299,,","26-MAR-26","","","","",""
"00092932","佳羿生醫有限公司","新北市汐止區民族二街22號4樓","500000"," "," ","1130828","新北市汐止區湖光里民族二街２２號四樓","457199,475199,,","26-MAR-26","","","","",""
"00094967","萬鳴畝股份有限公司","新北市萬里區瑪鋉頂街53號","15000000","7000000"," ","1140120","新北市萬里區瑪鋉頂街５３號","681112,,,","26-MAR-26","","","","",""
"00095255","金安物業管理顧問有限公司","新北市板橋區民治街47號10樓","10000000"," "," ","1131007","新北市板橋區青翠里民治街４７號１０樓","702099,800011,,","26-MAR-26","","","","",""
"00095924","欣軒寧企劃有限公司","新北市土城區金城路3段8號3樓","200000"," "," ","1131212","新北市土城區金城里金城路３段８號３樓","731099,,,","26-MAR-26","","","","",""
"00096661","恩典超越有限公司","新北市新店區安興路127之6號12樓","100000"," "," ","1131023","新北市新店區安和里安興路１２７之６號１２樓","471999,,,","26-MAR-26","","","","",""
"00097916","國家運通股份有限公司","新北市新莊區福美街132號","1000000","1000000"," ","1131227","新北市新莊區福基里福美街１３２號","311011,340012,,","26-MAR-26","","","","",""
"00099392","超物流體有限公司","新北市土城區永安街43號","1000000"," "," ","1130925","新北市土城區永寧里永安街４３號","487199,,,","26-MAR-26","","","","",""
"00100898","泉實不動產管理顧問有限公司","新北市永和區中山路1段205巷9號2樓","1000000"," "," ","1140123","新北市永和區中山路１段２０５巷９號２樓","464112,702099,,","26-MAR-26","","","","",""
"00102777","北敦企業股份有限公司","新北市永和區民權路39號2樓","6000000","6000000"," ","1130925","新北市永和區民權里民權路３９號２樓","434011,434013,681112,","26-MAR-26","","","","",""
"00104825","健康智研飛生技有限公司","新北市樹林區千歲街112號","3000000"," "," ","1131126","新北市樹林區圳福里千歲街１１２號","455999,473999,456511,454999","26-MAR-26","","","","",""
"00107301","全韻小客車租賃股份有限公司","新北市新店區中正路531之1號2樓","8300000","8300000"," ","1131211","新北市新店區復興里中正路５３１之１號２樓","465111,484111,772100,","26-MAR-26","","","","",""
"00109722","秀秀競技體育館有限公司","新北市泰山區貴子路67巷32弄1號(1樓)","500000"," "," ","1140227","新北市泰山區貴賢里貴子路６７巷３２弄１號（１樓）","458299,931299,,","26-MAR-26","","","","",""
"00109906","甄生有限公司","新北市新莊區中華路2段100號2樓","300000"," "," ","1140109","新北市新莊區中華路２段１００號２樓","812100,,,","26-MAR-26","","","","",""
"00111558","超茂有限公司","新北市新店區五峯路57之1號","200000"," "," ","1131028","新北市新店區五?里五?路５７－１號","542099,,,","26-MAR-26","","","","",""
"00111895","伸達永勝興業有限公司","新北市新莊區瓊林路18號","8000000"," "," ","1130913","新北市新莊區泰豐里瓊林路１８號","524999,,,","26-MAR-26","","","","",""
"00112043","品捷汽車有限公司","新北市中和區自立路99巷15號4樓","500000"," "," ","1131108","新北市中和區秀福里自立路９９巷１５號４樓","484112,484311,760999,","26-MAR-26","","","","",""
"00114041","伸達永寶物流有限公司","新北市新店區安和路1段25號3樓之1","25000000"," "," ","1130904","新北市新店區公崙里安和路１段２５號３樓之１","494099,,,","26-MAR-26","","","","",""
"00115816","霂一工程有限公司","新北市樹林區學士路100號10樓","1100000"," "," ","1140212","新北市樹林區南園里學士路１００號十樓","461512,434012,434011,740100","26-MAR-26","","","","",""
"00116033","洛一股份有限公司","新北市汐止區汐萬路1段123巷2號(1樓)","6000000","6000000"," ","1130913","新北市汐止區江北里汐萬路一段１２３巷２號一樓","561112,081211,,","26-MAR-26","","","","",""
"00116174","御瑟能源股份有限公司","新北市中和區安樂路5號11樓之4","30000000","9000000"," ","1130927","新北市中和區安樂路５號１１樓之４","353011,702099,649914,","26-MAR-26","","","","",""
"00116723","叡士租賃股份有限公司","新北市汐止區伯爵街53巷39號4樓","5000000","5000000"," ","1140213","新北市汐止區湖興里伯爵街５３巷３９號四樓","772100,772911,484112,","26-MAR-26","","","","",""
"00118525","福萊餐飲有限公司","新北市淡水區英專路95號(1樓)","1000000"," "," ","1041016","新北市淡水區英專路９５號１樓","561115,,,","26-MAR-26","","","","",""
"00118692","功能一有限公司","新北市土城區裕民路92巷25弄10號4樓","2000000"," "," ","1130906","新北市土城區樂利里裕民路９２巷２５弄１０號４樓","433199,,,","26-MAR-26","","","","",""
"00119828","普安冷凍空調有限公司","新北市中和區民享街59巷3號","2000000"," "," ","1131118","新北市中和區民享街５９巷３號","433211,,,","26-MAR-26","","","","",""
"00119833","平安國際供應鏈有限公司","新北市中和區中山路2段299號11樓之14","1700000"," "," ","1131125","新北市中和區中山路２段２９９號１１樓之１４","454111,454999,,","26-MAR-26","","","","",""
"00120228","伊利道路顧問股份有限公司","新北市板橋區藝文街235號14樓","100000","100000"," ","1130926","新北市板橋區中正里藝文街２３５號１４樓","859912,,,","26-MAR-26","","","","",""
"00121042","甫漾生鮮物流有限公司","新北市蘆洲區長安街65巷2號5樓","25000000"," "," ","1130916","新北市蘆洲區延平里長安街６５巷２號５樓","494099,,,","26-MAR-26","","","","",""
"00123442","金寓地產管理顧問有限公司","新北市蘆洲區復興路227巷2弄12號(1樓)","600000"," "," ","1131219","新北市蘆洲區復興路２２７巷２弄１２號（１樓）","681115,689113,670012,","26-MAR-26","","","","",""
"00123920","沃詮科技有限公司","新北市中和區中正路930號8樓","1000000"," "," ","1140207","新北市中和區興南路２段１２８巷３號","639099,464111,,","26-MAR-26","","","","",""
