timeperiodyear1,itemvalue2,itemvalue3,itemvalue4,itemvalue5,itemvalue6,itemvalue7,itemvalue8,itemvalue9,itemvalue10,itemvalue11,itemvalue12,itemvalue13,itemvalue14,itemvalue15,itemvalue16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,percent27,percent28
1988,3502,0.4726,10511,0.3639,1498,1974,985,3993,1019,4544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3329,0.4296,9692,0.3263,1480,1919,915,3636,934,4137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,4206,0.5223,12196,0.4001,1677,2215,1289,5099,1240,4882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,4486,0.5402,12847,0.4134,1772,2390,1350,5212,1364,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,4626,0.5401,12943,0.4093,1813,2417,1420,5253,1393,5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,5214,0.5881,13808,0.4285,1979,2576,1636,5729,1599,5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,5841,0.6415,14297,0.4385,1709,2120,1656,4764,2476,7413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,5866,0.6226,13873,0.4197,1354,1656,1739,4286,2773,7931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,5547,0.5618,12474,0.3718,1134,1337,1706,3760,2707,7377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,5177,0.503,11079,0.3239,828,972,1643,3313,2706,6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,6012,0.5657,12811,0.3703,780,918,1864,3826,3368,8067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,6211,0.5635,14386,0.4098,594,720,1957,3978,3660,9688,57255,0,239704900,14097,56388000,0,0,4454,52263918,0,0,0,0,19121,37484260,0,0
2000,7177,0.6316,17196,0.482,606,741,2275,4852,4296,11603,65089,0,260515300,18213,72852000,0,0,4298,57612183,0,0,0,0,24840,42152990,0,0
2001,7490,0.6432,18351,0.5083,432,570,2005,4213,5053,13568,67963,23128,245760300,19651,78604000,0,0,315,4689000,0,0,214,6420000,17308,31732540,0,0
2002,8261,0.6937,20741,0.5696,376,452,1901,4106,5984,16183,79124,22349,260105300,23457,93828000,0,0,336,4677900,0,0,186,5580000,23439,30110560,0,0
2003,8027,0.659,20579,0.5597,322,377,1728,3571,5977,16631,83901,21326,261516700,30335,121340000,0,0,333,4820325,0,0,269,6180000,16185,29454847,0,0
2004,8560,0.6888,22396,0.604,230,260,1621,3283,6709,18853,91876,19242,259124600,33879,135516000,0,0,352,3994502,0,0,260,7800000,17612,34442877,0,0
2005,9176,0.7263,24563,0.6573,246,288,1721,3801,7209,20474,99795,20457,280115000,39192,156768000,0,0,429,5220714,0,0,295,8565000,18014,42015733,0,0
2006,10917,0.8516,26887,0.7137,206,227,1752,3665,8959,22995,98005,19129,265894100,34360,137440000,0,0,476,7396715,0,0,185,5556000,19920,32430037,0,0
2007,11100,0.8481,27399,0.7214,207,227,1603,3391,9290,23781,98967,18031,263334400,35777,143108000,0,0,335,4110604,0,0,248,7890000,19612,32281549,87175,70027874
2008,10608,0.7914,24835,0.6478,192,207,1487,3188,8929,21440,86342,17092,265448010,33542,152001000,0,0,388,4844868,0,0,225,4765000,16663,31173600,121348,108950560
