名稱,地址,電話,傳真,服務時間
北基宜花金馬分署,新北市新莊區中平路439號南棟3樓,(02)89956399,(02)89956398,08:30~17:30
基隆就業中心,基隆市中正區中正路102號,(02)24225263,(02)24281514,08:00~17:00(12:00~13:00，值班人員服務)
羅東就業中心,宜蘭縣羅東鎮東榮路二段91號,(03)9542094,(03)9576435,08:00~17:00(12:00~13:00，值班人員服務)
花蓮就業中心,花蓮市國民三街25號,(03)8323262,(03)8356927,08:00~17:00(12:00~13:00，值班人員服務)
玉里就業中心,花蓮縣玉里鎮光復路160號,(03)8882033,(03)8886140,08:00~17:00(12:00~13:00，值班人員服務)
金門就業中心,金門縣金寧鄉伯玉路二段55號,(082)311119,(082)311120,08:00~17:00(12:00~13:00，值班人員服務)
連江就業中心,連江縣南竿鄉介壽村47-4號,(0836)23576,(0836)26304,08:00~17:30(12:00~13:30午休)
基隆就業中心-六堵分站,基隆市七堵區工建北路1-2號,(02)24515020,(02)24524710,08:00~17:00(12:00~13:00，值班人員服務)
青年職涯發展中心(YS),新北市三重區重新路四段12號3樓,(02)29770755,(02)29770765,09:00~18:00(12:30~13:30，值班人員服務)
北基宜花金馬區銀髮人才資源中心,新北市永和區自由街64號1樓,(02)77308878,(02)22310109,08:00~17:00(午休12:00~13:00)
頭城就業服務台,宜蘭縣頭城鎮開蘭路1號,(03)9771650,(03)9771650,08:00~17:00(午休12:00~13:00)
礁溪就業服務台,宜蘭縣礁溪鄉中山路二段3號,(03)9883234,(03)9883234,08:00~17:00(午休12:00~13:00)
蘇澳就業服務台,宜蘭縣蘇澳鎮蘇港路215號,(03)9965300,(03)9965300,08:00~17:00(午休12:00~13:00)
冬山就業服務台,宜蘭縣冬山鄉冬山路100號,(03)9596490,(03)9596490,08:00~17:00(午休12:00~13:00)
五結就業服務台,宜蘭縣五結鄉五結路二段343號,(03)9509912,(03)9509912,08:00~17:00(午休12:00~13:00)
員山就業服務台,宜蘭縣員山鄉員山路一段322號,(03)9232880,(03)9232880,08:00~17:00(午休12:00~13:00)
壽豐就業服務台,花蓮縣壽豐鄉壽山路26號,(03)8650885,(03)8650885,08:00~17:00(午休12:00~13:00)
秀林就業服務台,花蓮縣秀林鄉秀林村12鄰62號,(03)8610803,(03)8610803,08:00~17:00(午休12:00~13:00)
吉安就業服務台,花蓮縣吉安鄉吉安村吉安路二段116號,(03)8529886,(03)8529886,08:00~17:30(午休12:00~13:30)
瑞穗就業服務台,花蓮縣瑞穗鄉成功南路19號,(03)8870507,(03)8870507,08:00~17:00(午休12:00~13:00)
光復就業服務台,花蓮縣光復鄉大華村中華路257號,(03)8700226,(03)8700226,受馬太鞍溪堰塞湖溢流水災影響，自114月9月23日起暫停服務。
三重就業中心(委辦),新北市三重區重新路四段12號1-2樓,(02)29767157,(02)29779906,08:00~17:00(12:00~13:00，值班人員服務)
八里就業服務台(委辦),新北市八里區八里大道18號1樓,(02)26102621,(02)26195714,08:00~17:00(午休12:00~13:00)
泰山就業服務台(委辦),新北市泰山區明志路一段322號,(02)29099551,(02)29008627,08:00~17:00(午休12:00~13:00)
板橋就業中心(委辦),新北市板橋區漢生東路163號,(02)29598856,(02)29587927,08:00~17:00(12:00~13:00，值班人員服務)
鶯歌就業服務台(委辦),新北市鶯歌區仁愛路55號,(02)26780202,(02)26795794,08:00~17:00(午休12:00~13:00)
金山就業服務台(委辦),新北市金山區中正路11號,(02)24980196,(02)24980196,08:00~17:00(午休12:00~13:00)
萬里就業服務台(委辦),新北市萬里區瑪鋉路123號,(02)24921583,(02)24921583,08:00~17:00(午休12:00~13:00)
瑞芳就業服務台(委辦),新北市瑞芳區逢甲路82號,(02)24970933,(02)24970933,每週一、週三、週四與週五08:00~17:00(午休12:00~13:00)
中和就業中心(委辦),新北市中和區景安路118號1、2樓,(02)22461250,(02)22461660,08:00~17:00(12:00~13:00，值班人員服務)
石碇就業服務台(委辦),新北市石碇區碇坪路一段37號,(02)26633204,(02)26633204,08:00~17:00(午休12:00~13:00)
烏來就業服務台(委辦),新北市烏來區忠治里新烏路五段111號,(02)26617418,(02)26617418,每週一、週二、週四與週五08:00~17:00(午休12:00~13:00)
坪林就業服務台(委辦),新北市坪林區坪林街101號,(02)26657823,(02)26657823,08:00~17:00(午休12:00~13:30)
深坑就業服務台(委辦),新北市深坑區深坑街10號,(02)26643688,(02)26643688,08:00~17:00(午休12:00~13:00)
新北市政府就業服務處,新北市中和區景安路155號,(02)22465066,(02)22465099,08:00~18:00
新莊就業服務站,新北市新莊區中正路80之1號5樓,(02)22066196,(02)22066235,08:00~17:00(12:00~13:00，值班人員服務)
汐止就業服務站,新北市汐止區新台五路一段268號,(02)86923963,(02)86924059,08:00~17:00(12:00~13:00，值班人員服務)
林口就業服務台,新北市林口區文化一路一段15巷2之1號1樓,(02)26000178,(02)86014228,08:00-17:00(午休12:00~13:00)
土城就業服務台,新北市土城區金城路一段101號,(02)82623500,(02)82623501,08:00~17:30(午休12:00~13:30)
五股就業服務台,新北市五股區五工六路9號,(02)22988527,(02)89903881,08:00~17:00(午休112:00~13:00)
淡水就業服務台,新北市淡水區中正東路二段73號,(02)28083525,(02)28083526,08:00~17:00(12:00~13:00，值班人員服務)
新店就業服務台,新北市新店區北新路一段86號7樓之1,(02)89111750,(02)89147208,08:00~17:00(12:00~13:00，值班人員服務)
永和就業服務台,新北市永和區竹林路200號,(02)29237590,(02)29250538,08:00~17:00(午休12:00~13:00)
樹林就業服務台,新北市樹林區保安街一段7號4樓,(02)26819453,(02)26819451,08:00~17:00(12:00~13:00，值班人員服務)
蘆洲就業服務台,新北市蘆洲區三民路95號,(02)82858397,(02)22880436,08:00~17:00(午休12:00~13:00)
三峽就業服務台,新北市三峽區中山路17號,(02)26711017,(02)26718861,08:00~17:00(午休12:00~13:00)
新北市板橋銀髮人才服務據點,新北市板橋區萬板路143號,(02)22575218,(02)22591856,08:30~17:30(午休12:30-13:30)
新北市三重銀髮人才服務據點,新北市三重區重新路4段12號7樓,(02)89732677,(02)89732680,08:30~17:30(午休12:30-13:30)
新北市林口銀髮人才服務據點,新北市林口區文化一路一段15巷2之1號1樓,(02)26097000,(02)86014228,08:00-17:00(午休12:00-13:.00)
新北市原住民族就業服務據點,新北市新店區大新街36號,(02)89116211,(02)89116211,08:30~17:30(午休12:30-13:30)
臺北市就業服務處,臺北市萬華區艋舺大道101號8樓,(02)23085230,(02)23085359,08:30~17:30
艋舺就業服務站,臺北市萬華區艋舺大道101號3樓,(02)23085231,(02)23085352,09:00~17:00，中午不休息。
西門就業服務站,臺北市萬華區峨眉街81號,(02)23813344,(02)23719805,09:00~17:00，中午不休息。
北投就業服務站,臺北市北投區中央北路1段2號3樓,(02)28981819,(02)28981512,09:00~17:00，中午不休息。
內湖就業服務站,臺北市內湖區民權東路六段99號7樓(內湖區行政中心7樓),(02)27900399,(02)27901030,09:00~17:00，中午不休息。
信義就業服務站,臺北市信義區福德街86號8樓,(02)27293138,(02)27294758,09:00~17:00，中午不休息。
南港東明青銀就業服務站,臺北市南港區南港路二段60巷19號1、2樓,(02)27400922,(02)27403955,09:00~17:00，中午不休息。
景美就業服務站,臺北市文山區羅斯福路六段393號2樓,(02)89315334,(02)89315333,09:00~17:00，中午不休息。
個案管理資源站,臺北市文山區羅斯福路六段393號3樓,(02)29302696,(02)29301231,08:30~17:30(午休12:30~13:30，值班人員服務)
臺北車站就業服務台,臺北市中正區北平西路3號1樓西南區就業服務台,(02)23811278,(02)23758499,09:00~17:00，中午不休息。
萬華就業服務台,臺北市萬華區梧州街36號5樓,(02)23080236,(02)23080663,09:00~17:00，中午不休息。
臺北青年職涯發展中心(TaipeiYouthSalon),臺北市中正區仁愛路一段17號2樓,(02)23958567,(02)23512504,每週二至週日9:00~18:00(午休12：30~13：30)
臺北市南港銀髮人才服務據點,臺北市南港區南港路二段60巷18號,(02)27861660,(02)27861670,09:00~17:00，中午不休息。
臺北市文山銀髮人才服務據點,臺北市文山區興隆路二段88號2樓,(02)29307989,(02)29306679,09:00~17:00，中午不休息。
臺北市原住民族就業服務據點,臺北市南港區向陽路49號,(02)27828740,(02)26516375,08:30~17:30(午休12:30~13:30)
宜蘭縣政府勞工處,宜蘭市南津里13鄰縣政北路1號,(03)9251000,(03)9251093,08:00~17:00
宜蘭縣政府勞工處就業服務台,宜蘭市縣政北路1號,(03)9255130,(03)9251092,08:00~17:00(12:00~13:00午休)
宜蘭縣銀髮人才服務據點,宜蘭縣宜蘭市公園路465號1樓,(03)9255455,(03)9254755,08:00~17:00(12:00~13:00午休)
基隆市銀髮人才服務據點,基隆市仁愛區愛三路9號4樓之4,(02)24285655,(02)24285665,08:00~17:30(午休12:30~13:30)
金門縣銀髮人才服務據點,金門縣金城鎮民權路173號,(082)318823,(082)371514,08:00~17:00(午休12:00~13:30)
花蓮縣銀髮人才服務據點,花蓮市國聯二路151號,(03)8320501,(03)8320506,08:00~17:30(午休12:00~13:30)
桃竹苗分署,桃園市楊梅區秀才路851號,(03)4855368,(03)4881308,08:00~17:00
竹北就業中心,新竹縣竹北市光明九路7-3號,(03)5542564,(03)5542567,08:00~17:00(12:00~13:00，值班人員服務)
新竹就業中心,新竹市光華東街56號,(03)5343011,(03)5343013,08:00~17:00(12:00~13:00，值班人員服務)
苗栗就業中心,苗栗縣苗栗市中山路558號1樓,(037)358395,(037)320236,08:00~17:00(12:00~13:00，值班人員服務)
賈桃樂學習主題館,新竹市光華東街56號(新竹就業中心內),(03)5343011,(03)5343013,08:00~17:00(12:00~13:00，值班人員服務)
桃竹苗區銀髮人才資源中心,新竹縣竹北市縣政六路18號,(03)5583456,(03)6570901,08:00~17:00(午休12:00~13:00)
中壢就業中心(委辦),桃園市中壢區新興路182號,(03)4681106,(03)4681131,08:00~17:00(12:00~13:00，值班人員服務)
桃園就業中心(委辦),桃園市桃園區縣府路59號,(03)3333005,(03)3322636,08:00~17:00(12:00~13:00，值班人員服務)
竹東就業服務台,新竹縣竹東鎮杞林路85號,(03)5964646,(03)5964646,08:00~17:00(午休12:00~13:00)
新豐就業服務台,新竹縣新豐鄉新市路93號,(03)5574215,(03)5574215,08:00~17:00(午休12:00~13:00)
新埔就業服務台,新竹縣新埔鎮田新路600號,(03)5885141,(03)5885141,08:00~17:00(午休12:00~13:00)
芎林就業服務台,新竹縣芎林鄉上山村文富街133號1樓,(03)5922499,(03)5922499,08:00~17:00(午休12:00~13:00)
橫山就業服務台,新竹縣橫山鄉新興村新興街110號,(03)5934765,(03)5934765,08:00~17:00(午休12:00~13:00)
寶山就業服務台,新竹縣寶山鄉雙溪村雙園路二段325號,(03)5293792,(03)5293792,08:00~17:00(午休12:00~13:00)
北埔就業服務台,新竹縣北埔鄉中山路20號,(03)5803317,(03)5803317,08:00~17:00(午休12:00~13:00)
峨眉就業服務台,新竹縣峨眉鄉峨眉村獅山街28號,(03)5809073,(03)5809073,08:00~17:00(午休12:00~13:00)
關西就業服務台,新竹縣關西鎮正義路51號,(03)5874130,(03)5874130,08:00~17:00(午休12:00~13:00)
尖石就業服務台,新竹縣尖石鄉嘉樂村2鄰70號,(03)5841891,(03)5841891,08:00~17:00(午休12:00~13:00)
五峰就業服務台,新竹縣五峰鄉大隘村6鄰98號,(03)5851372,(03)5851372,08:00~17:00(午休12:00~13:00)
湖口就業服務台,新竹縣湖口鄉中央街1號,(03)5997248,(03)5997248,08:00~17:00(午休12:00~13:00)
新竹產業園區就業服務台,新竹縣湖口鄉中華路22號,(03)5981940,(03)5986810,08:00~17:00(午休12:00~13:00)
新竹科學園區就業服務台,新竹市東區工業東二路1號3樓,(03)5774677,(03)5775787,08:00~17:00(午休12:00~13:00)
竹南科學園區就業服務台,苗栗縣竹南鎮科研路36號,(037)581027,(037)580697,08:00~17:00(午休12:00~13:00)
竹南就業服務台,苗栗縣竹南鎮中正路112號,(037)476420,(037)476420,08:00~17:00(午休12:00~13:00)
頭份就業服務台,苗栗縣頭份市中山路232號,(037)683349,(037)683349,08:00~17:00(午休12:00~13:00)
苑裡就業服務台,苗栗縣苑裡鎮信義路1號,(037)863225,(037)863225,08:00~17:00(午休12:00~13:00)
後龍就業服務台,苗栗縣後龍鎮中山路152號,(037)732067,(037)732067,08:00~17:00(午休12:00~13:00)
通霄就業服務台,苗栗縣通霄鎮中正路8號,(037)760775,(037)760775,08:00~17:00(午休12:00~13:00)
公館就業服務台,苗栗縣公館鄉玉泉村14鄰368之10號,(037)235312,(037)235312,08:00~17:00(午休12:00~13:00)
銅鑼就業服務台,苗栗縣銅鑼鄉永樂路15號,(037)981440,(037)981440,08:00~17:00(午休12:00~13:00)
三義就業服務台,苗栗縣三義鄉廣盛村新生路9之21號(廣盛村辦公室內),(037)870991,(037)870991,每週一、週三、週四與週五08:00~17:00(午休12:00~13:00)
大湖就業服務台,苗栗縣大湖鄉忠孝路69號3樓(老人文康活動中心內),(037)990537,(037)990537,每週二、週五08:00~17:00(午休12:00~13:00)
西湖就業服務台,苗栗縣西湖鄉三湖村1鄰店仔街1之3號(西湖鄉公所內),(037)920160,(037)920160,每週一、週三14:00-17:00
三灣就業服務台,苗栗縣三灣鄉三灣村16鄰和平街68號,(037)833361,(037)833361,每週一、週二、週三與週四08:00-12:00
南庄就業服務台,苗栗縣南庄鄉東村大同路3號,(037)822442,(037)822442,每週一、週三與週五08:00~17:00(午休12:00~13:00)每週二、週四14:00-17:00
泰安就業服務台,苗栗縣泰安鄉清安村洗水坑60之3號2樓,(037)941108,(037)941108,每週二09:00-16:00(午休12:00~13:00)
