field1,itemvalue2,itemvalue3,itemvalue4,itemvalue5,itemvalue6,itemvalue7,itemvalue8,itemvalue9,itemvalue10,itemvalue11,itemvalue12,itemvalue13,itemvalue14,itemvalue15,itemvalue16,itemvalue17,itemvalue18,itemvalue19,itemvalue20,itemvalue21,itemvalue22,itemvalue23
2011,2818,0.1968,8513,0.2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8210,0.563,23709,0.6019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
2013,10434,0.706,30121,0.7616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,156,0,0
2014,11019,0.7361,31433,0.7924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,31,82,0
2015,10520,0.6963,30545,0.7693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,70,0
2016,10513,0.6886,30136,0.7573,0,0,0,0,0,0,12,116,0,0,0,0,0,0,715,0,169,4084
2017,10418,0.6751,29237,0.7334,0,0,0,0,0,0,9,80,0,0,0,0,0,0,601,0,388,13404
2018,10305,0.6597154869,28553,0.7145901474,0,0,0,0,0,0,10,86,0,0,0,0,0,0,609,0,299,7274.95
2019,10305,0.6505685925,27907,0.6944292377,0,0,0,0,0,0,7,58,0,0,0,0,0,0,519,0,343,8389.042
2020,10535,0.6556452707,27905,0.692267885,0,0,491,2402.155,0,0,25,192,0,0,0,0,0,0,54,0,522,12486.163
2021,10273,0.6337813544,26794,0.6684941268,0,0,0,0,0,0,15,180,0,0,0,0,0,0,7,0,596,14115.441
2022,10018,0.6112606687,25467,0.6373839303,0,0,18,21.8,0,0,9,83,0,0,0,0,0,0,11,0,635,19556.361
2023,10153,0.6075747874,24940,0.61715564,0,0,49,387.5,0,0,13,170,0,0,0,0,0,0,212,2,615,17015.117
2024,9162,0.5333519616,22018,0.544057192,0,0,0,0,0,0,7,95,0,0,,,0,0,82,0,769,19909.69
