年別,行政區,家庭戶數[戶],每戶人數,每戶成年人數,每戶就業人數,每戶所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]消費支出[NT],1.食品及非酒精飲料[NT],2.菸酒及檳榔[NT],3.衣著鞋襪及服飾用品[NT],4.住宅服務水電瓦斯及其他燃料[NT],[1]房地租及水費[NT],[2]電費及燃料[NT],[1]住宅服務[NT],[2]水電費及及燃料[NT],5.家具設備及家務維護[NT],6.醫療保健[NT],7.交通[NT],[1]個人交通工具之購置[NT],[2]個人交通設備使用管理及保養費[NT],[3]乘交通設備及其他交通服務[NT],[4]汽機車保險費[NT],8.通訊[NT],9.休閒與文化[NT],[1]套裝旅遊[不含自助旅遊][NT],[2]娛樂消遣及文化服務[NT],[3]書報雜誌文具[NT],[4]教育消遣康樂器材及其附屬品[NT],10.教育[NT],11.餐廳及旅館[NT],[1]婚生壽喪祭宴費[NT],[2]餐館等場所飲食交際費[NT],[3]在外伙食費[NT],[4]住宿服務[不含套裝旅遊之住宿][NT],12.什項消費[NT],可支配所得[NT],消費支出[NT],儲蓄[NT],所得總額[NT]
109年,總計,1060000,3.01,2.59,1.4,1.89,1820135284,1107809567,805653104,67376833,234779631,169499909,134830292,108139154,299771471,93915328,49066870,154428868,1773418,586987,84891,311452596,14202404,297250192,79295984,55961969,160335160,1657080,1176266896,172670045,8188106,31615482,321943261,303961242,17982019,…,…,38160075,167502513,78054274,6619066,43588875,23341079,4505254,27476030,71395782,33655101,20130554,4609946,13000182,38701257,158633041,1327568,13953044,137053141,6299288,61927031,1508682688,1176266896,332415792,1942365657
109年,松山區,81100,2.77,2.49,1.18,1.68,143898544,74006562,54858631,4788767,14359164,21143348,14489387,10825300,23428241,8278333,3536988,11552631,60290,-,5705,21050170,709893,20340277,4654922,4793781,10656130,235445,88705850,12051472,726270,2782854,26222788,24978017,1244771,…,…,4111543,11978110,4638626,2676,2851441,1584176,200334,1826809,4290752,1945232,1232964,253559,858996,2185793,11890488,50690,1594246,9890453,355098,6000344,122848373,88705850,34142524,151772440
109年,信義區,89100,3.01,2.71,1.53,1.95,158643914,97836196,71774113,4134731,21927352,16320571,9465260,9510103,25511140,7880746,3739902,13849675,40818,-,645,27854253,1563289,26290964,7650811,5129206,13510947,-,103158275,14180029,684338,2751923,30432435,28963606,1468829,…,…,3421491,15106248,7331886,1978636,3336737,1651488,365025,2229134,5787908,2694146,1478939,380463,1234360,2471792,13293787,124182,1101689,11625295,442621,5467306,130789661,103158275,27631387,170058957
109年,大安區,121000,3.05,2.56,1.31,2,242591798,142950998,96546396,15861638,30542965,20726051,26782305,17948137,34154696,11276129,5072712,16952826,638883,214147,29610,41473347,1954276,39519071,10643733,8956436,18851621,1067279,153447673,20507815,819786,4541365,47477640,45232121,2245518,…,…,5322190,20412559,8653216,777813,4394367,2860328,620708,3232572,11829144,5576472,3317495,744701,2190476,5191335,18324293,303127,1719030,15403396,898739,7135759,201118452,153447673,47670778,261092230
109年,中山區,101000,2.77,2.38,1.24,1.78,173973745,105904493,72962963,9397791,23543739,12749257,17954070,8564290,28781783,11347737,4295146,12825494,207271,106135,19854,28107630,1291049,26816581,7641807,5508459,13636672,29643,112974928,15787606,573804,2395165,34400665,32795476,1605189,…,…,3584436,15521742,7239255,596435,3727205,2561577,354038,2491431,6510226,3289286,1678172,350949,1191819,2755986,15351985,1075,1543360,13268981,538569,6362628,145866116,112974928,32891188,189479730
109年,中正區,65700,2.98,2.74,1.35,1.9,107812509,69889814,51868557,4834124,13187134,7181281,5410501,7067196,18263717,6333836,3425973,8156611,80592,266705,-,18602264,424993,18177272,4735314,3698802,9743156,-,69550493,10923069,460787,1791494,17830133,16649760,1180374,…,…,2552263,9169267,5331122,537068,2814113,1785895,194046,1952629,3411511,1709579,943362,265958,492611,1554511,10600631,6302,755723,9346366,492240,3973077,89210244,69550493,19659752,114104879
109年,大同區,52000,2.93,2.65,1.34,1.77,72915646,39080680,30340044,448526,8292109,10086605,6884632,2761554,14097323,4174269,2302902,7350405,269747,-,4852,11389050,447967,10941083,2525718,1376256,7039110,-,47190210,6997371,619816,1479356,11042006,10225533,816472,…,…,1223305,8802125,2600126,1950,1638117,783324,176734,1222558,2561111,745430,1059353,114862,641467,1016812,7681282,151918,382753,6910287,236324,1944343,61526596,47190210,14336385,77583754
109年,萬華區,79200,2.78,2.45,1.42,1.96,123123360,59536031,44160179,3431148,11944704,27506850,6509733,4862938,24707808,7718649,3199915,13722449,66796,-,-,17809761,576474,17233287,5401583,2438441,9393263,-,80477692,12718586,797610,1764206,17829804,16474111,1355693,…,…,2531242,13747891,5224918,97657,2886808,1885782,354671,2022147,4933675,2479540,1433162,253757,767216,2013424,12655712,69264,1373353,10825278,387816,4238477,105313599,80477692,24835907,129689955
109年,文山區,107000,3.09,2.69,1.46,2.04,187355224,125590033,92707762,5012470,27869802,10283029,9854146,10657084,30951253,7477032,6077144,17349880,47196,-,19679,34203157,1970804,32232354,7876964,6734980,17620409,-,115305776,18672676,691825,3123831,30223704,28587887,1635818,…,…,3666896,16675926,8476031,492516,4939128,2561246,483141,2816266,6046964,2234107,2016432,377306,1419119,4137864,15365538,19473,904889,13618234,822941,5408255,153152067,115305776,37846291,199427480
109年,南港區,48000,3.09,2.44,1.46,1.83,71816825,45092804,34526289,1629730,8936785,6921452,4038456,3360489,12401517,3436271,2351567,6613680,-,-,2107,11034968,391621,10643347,1714421,1608346,7320580,-,45541202,8157913,397616,1212439,11955309,11179270,776038,…,…,1720180,5542097,3062070,49930,2014040,842006,156094,1182156,2261773,958902,669408,153289,480174,1810631,5928205,386426,668543,4716986,156251,2310814,60781857,45541202,15240655,75261218
