年別,行政區,家庭戶數[戶],每戶人數,每戶成年人數,每戶就業人數,每戶所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]消費支出[NT],1.食品及非酒精飲料[NT],2.菸酒及檳榔[NT],3.衣著鞋襪及服飾用品[NT],4.住宅服務水電瓦斯及其他燃料[NT],[1]住宅服務[NT],[2]水電費及及燃料[NT],5.家具設備及家務維護[NT],6.醫療保健[NT],7.交通[NT],[1]個人交通工具之購置[NT],[2]個人交通設備管理維護[NT],[3]客運與貨物運輸服務[NT],8.資通訊[NT],9.休閒運動與文化[NT],[1]套裝旅遊[不含自助旅遊][NT],[2]休閒運動與文化用品[NT],[3]休閒運動與文化服務[NT],[4]書報雜誌文具[NT],10.教育服務[NT],11.餐廳及住宿服務[NT],[1]婚生壽喪祭宴費[NT],[2]餐飲服務[NT],[3]住宿服務[不含套裝旅遊之住宿][NT],12.保險及金融服務[NT],13.個人清潔照護社會保障及其他[NT],可支配所得[NT],消費支出[NT],儲蓄[NT],所得總額[NT]
113年,總計,1067481,2.71,2.46,1.24,1.95,1924873020,1135938925,812815944,86062490,237060492,164890988,170812572,111327315,341890921,99165100,49498984,189318906,1673007,2234924,12299,339171542,15528610,323642932,84998240,65077365,170153117,3414210,1213338301,177251783,6609975,29598736,345643735,324139068,21504667,43355299,161210847,64816260,1532315,42576849,20707097,41129391,59049621,30775382,6555687,17980947,3737605,31477788,167851786,418650,161899285,5533850,41002313,44340768,1585701478,1213338301,372363177,2066619447
113年,松山區,80767,2.52,2.28,0.99,1.96,154954546,90261143,64019471,4364899,21876772,9222459,14885669,11501079,29084196,9769305,3078593,16230897,5400,-,-,25904797,800622,25104175,4809910,8370719,11917071,6475,102104709,14959183,500558,2412173,30424781,28585972,1838809,2812370,12832137,6701003,915172,3194183,2591648,3106086,4406103,1984656,408900,1668305,344241,3765218,13218327,-,12356617,861710,3065434,3901336,129049749,102104709,26945039,166385604
113年,信義區,89494,2.74,2.59,1.38,2.07,164020233,101872389,71203448,10787374,19881568,14341929,13001335,9339035,25463955,5953933,3753687,15431071,325264,-,1589,27093681,1109122,25984559,5781708,4666473,15534275,2103,97890873,14284040,550626,2514731,27350832,25606703,1744129,3130705,12367017,5038364,-122538,3687563,1473339,3393697,5225552,2591385,699695,1689952,244520,1898432,14196497,31470,13696024,469003,3721077,4219304,136926552,97890873,39035679,175035030
113年,大安區,120148,2.75,2.49,1.21,1.96,253608571,157143686,107342051,15992197,33809439,17813746,24030634,15651395,38969110,11619964,5249297,20498277,4212,1597361,-,51619402,2376332,49243070,13688366,13336439,22217321,944,153707212,20749716,594804,3739371,48165177,45635888,2529289,4732545,19797925,7406878,159178,4868490,2379209,5433638,7360782,3793985,691689,2348937,526171,4993925,20455872,157962,19560336,737574,5000516,5276064,201989169,153707212,48281957,275082273
113年,中山區,101281,2.38,2.21,1.03,1.81,171438027,88605859,61173479,9779322,17653058,22587449,19050127,11580631,29613961,8290757,4531175,16474665,157803,159561,-,28528007,1449723,27078284,8319433,5037497,13461767,259588,112197443,15282163,998502,3386922,33101668,31261125,1840543,5569833,15427840,5655636,92587,3548024,2015026,4353204,5951968,3576551,702468,1446254,226694,2006287,13732517,115028,13302213,315277,3121321,3609582,142910019,112197443,30712577,183233229
113年,中正區,65653,2.63,2.23,1.13,1.8,131592735,79784018,55342849,7719922,16721247,9057002,13168572,5571359,24011784,8975735,2178178,12815383,42488,-,-,19451079,811077,18640002,3733815,4113255,10786738,6194,77452339,9212723,218230,1524553,23901091,22757061,1144030,3351538,11873649,3483675,18837,2314462,1150376,2528927,4066743,2631826,418156,755754,261008,2518030,10212619,7466,10007340,197814,1872083,2688478,112141657,77452339,34689318,141489759
113年,大同區,53431,2.62,2.38,1.16,1.84,79975600,41029506,29661506,3396302,7971698,11388954,7648684,4935023,14973433,4478931,2538969,7955533,-,-,-,14216321,388735,13827586,5011801,1594173,7220724,888,52690182,7662796,190275,1564121,15906740,14863276,1043464,2602976,5283856,2986159,-,2043748,942412,1565846,2348071,1265449,279279,634319,169024,1390339,7436595,1044,7257376,178175,1689362,2063048,65759278,52690182,13069097,86532856
113年,萬華區,79747,2.68,2.41,1.13,1.83,127513650,63648003,46053874,5593241,12000888,13429715,9946708,6076138,34403446,11754773,5402919,16914922,162466,168367,9640,22605961,999817,21606144,7064750,3303499,9927907,1309988,85179747,13583613,886585,2116235,21268346,19469954,1798392,2500617,13864375,3539152,4041,2382838,1152273,2514116,4476577,2181363,552337,1455030,287847,1515543,11763055,33381,11401105,328568,3782012,3369522,104907689,85179747,19727942,135870425
113年,文山區,109008,2.73,2.41,1.41,1.95,196237626,131005267,94303303,8415327,28286637,11271190,11621311,11126314,31213545,9985157,5707141,14994913,526334,-,-,34396532,1127709,33268824,8725400,5133671,19408835,918,114845048,15271948,413840,2733757,33399101,31482726,1916375,3995492,13019349,5861143,71582,4052161,1737400,3477797,6078108,3259462,535265,1925149,358232,3749299,18793903,66944,18240536,486424,4215700,3835612,161841094,114845048,46996046,208629866
113年,南港區,48318,2.87,2.44,1.36,1.93,87580854,56798046,43768764,1644940,11384341,4116547,6623313,6055874,13987075,3307057,2179470,8436436,64112,-,-,20768860,1138918,19629943,7532950,2788124,9308869,-,59874312,7229440,292887,1495345,17607444,16582445,1024999,2148952,7313868,3792129,11214,2567597,1213318,2078169,2760063,1384730,256554,862890,255889,1662198,8890359,-,8452536,437823,2004382,2599076,66811994,59874312,6937682,94062983
113年,內湖區,111643,2.82,2.65,1.42,2.12,209848002,124881352,90205029,7854609,26821715,19323182,16967121,11215463,37459814,10861264,4598128,21683027,279868,37528,1070,37204990,2290444,34914545,8969419,5908513,18223007,1813607,132222197,20878713,621538,3239560,34101475,31785485,2315991,4813661,18140124,8545225,46036,5854790,2644398,4555243,6029805,2526704,806050,2334940,362112,2398091,18961042,-,18199039,762003,4831752,5105967,172643012,132222197,40420814,224448490
