"統計期","勞工保險投保單位數[家]","勞工保險投保人數[人]","勞工保險給付件數[件]","勞工保險給付金額[千元]","市府推介就業服務/新登記求職人數[人]","市府推介就業服務/新登記求才人數[人]","市府推介就業服務/有效求職推介就業人數[人]","市府推介就業服務/有效求才僱用人數[人]","市府推介就業服務/求職就業率[%]","市府推介就業服務/求才利用率[%]","重大職業災害發生件數[件]","重大職業災害死亡人數[人]"
"87年 1月",88803,1898545,7986,1183993,742,1071,112,0,15.09,0,0,2
"87年 2月",88861,1885773,9061,1777831,1110,3360,192,0,17.30,0,0,1
"87年 3月",88984,1882254,11331,1988188,1154,3402,239,0,20.71,0,0,2
"87年 4月",88957,1893028,9501,1634122,929,3595,220,0,23.68,0,0,2
"87年 5月",89190,1896183,8797,1355214,1104,2847,221,0,20.02,0,0,1
"87年 6月",89312,1895703,9736,1648511,1583,3721,258,0,16.30,0,0,2
"87年 7月",89338,1914142,10034,1885334,1992,2190,273,0,13.70,0,0,2
"87年 8月",89399,1916144,8995,1618735,1906,2377,320,0,16.79,0,0,4
"87年 9月",89519,1924728,9052,1428814,1951,1862,334,0,17.12,0,0,7
"87年 10月",89704,1930461,8570,1411546,1550,1932,289,0,18.65,0,0,1
"87年 11月",89724,1932525,8277,1363082,1376,1642,208,0,15.12,0,0,3
"87年 12月",89654,1933875,8833,1399225,1364,1643,246,0,18.04,0,0,0
"88年 1月",89699,1941311,9674,1899879,1575,1919,237,0,15.05,0,3,3
"88年 2月",89786,1926860,7579,1563543,1100,1743,189,0,17.18,0,1,1
"88年 3月",89756,1916868,11303,1917141,2278,3285,378,0,16.59,0,0,0
"88年 4月",89951,1915832,10773,1962933,1650,3294,345,0,20.91,0,1,1
"88年 5月",90089,1913858,11269,1789464,1772,3031,356,0,20.09,0,0,0
"88年 6月",90247,1914731,10004,1568462,1801,2382,352,0,19.54,0,2,2
"88年 7月",90428,1933935,12349,2458697,2167,2970,346,0,15.97,0,5,5
"88年 8月",90554,1935428,10918,1891638,2546,3527,382,0,15.00,0,0,0
"88年 9月",90671,1942683,9472,1455526,2028,2379,298,0,14.69,0,2,2
"88年 10月",91001,1956482,11253,1747193,2231,2321,359,0,16.09,0,3,3
"88年 11月",91187,1963904,11525,1719825,1799,2073,313,0,17.40,0,1,1
"88年 12月",91173,1967527,11070,1537529,1552,2272,248,0,15.98,0,2,2
"89年 1月",91336,1980531,12731,2350490,1338,1509,178,0,13.30,0,3,3
"89年 2月",91240,1970077,8673,1396966,1162,2581,195,0,16.78,0,3,1
"89年 3月",91393,1975209,12870,1959329,1776,3651,296,0,16.67,0,2,2
"89年 4月",91546,1981278,10980,1804148,1212,2470,253,0,20.87,0,1,1
"89年 5月",91756,1987806,12092,1663298,1576,2990,280,0,17.77,0,2,1
"89年 6月",91915,2002244,10806,1595536,1661,2865,332,0,19.99,0,3,3
"89年 7月",92302,2028515,11475,2182739,1797,2023,279,0,15.53,0,4,4
"89年 8月",92439,2033914,11262,1840138,1861,2821,265,0,14.24,0,2,3
"89年 9月",92632,2039874,11431,1781116,2142,3866,328,0,15.31,0,2,2
"89年 10月",92925,2047432,12064,1910130,2329,3716,433,0,18.59,0,2,2
"89年 11月",93068,2051313,12706,1880263,2640,4109,468,0,17.73,0,0,0
"89年 12月",93216,2054020,12708,1849794,1588,2126,254,0,15.99,0,1,1
"90年 1月",93149,2048698,12482,2113860,2117,3345,332,0,15.68,0,2,5
"90年 2月",93132,2041534,14530,2134232,2614,3821,433,0,16.56,0,1,1
"90年 3月",93143,2048698,19473,2620138,2762,4361,665,0,24.08,0,1,1
"90年 4月",93359,2046384,15740,2169813,3126,4710,607,0,19.42,0,4,4
"90年 5月",93246,2044190,20118,2296939,4129,6868,742,0,17.97,0,1,1
"90年 6月",93442,2048533,17277,1968353,4235,3093,921,0,21.75,0,1,1
"90年 7月",93525,2052515,19255,2946680,5325,4993,886,0,16.64,0,0,0
"90年 8月",93648,2048647,20424,2709577,5978,6614,1008,0,16.86,0,6,6
"90年 9月",93650,2046346,17746,2032984,4380,4601,914,0,20.87,0,2,2
"90年 10月",93504,2037172,24040,2440607,7541,5468,1458,0,19.33,0,1,1
"90年 11月",93496,2032683,28940,3133855,6638,5213,1293,0,19.48,0,2,2
"90年 12月",93367,2025409,25519,2607155,6932,5788,1566,0,22.59,0,0,0
"91年 1月",93268,2026412,30580,5246002,6654,5272,1408,0,21.16,0,2,2
"91年 2月",93292,2015698,23588,3633770,4409,4114,980,0,22.23,0,0,0
"91年 3月",93187,2007506,33564,4214304,6632,7230,1527,0,23.02,0,0,0
"91年 4月",93258,2002771,29813,3636948,5671,5717,1716,0,30.26,0,2,2
"91年 5月",93467,2008925,31353,3395533,5681,5883,1518,0,26.72,0,1,1
"91年 6月",93546,2015815,24129,2577873,4869,5001,1307,0,26.84,0,2,2
"91年 7月",93588,2029040,27068,3469850,6573,5850,2048,0,31.16,0,3,3
"91年 8月",93867,2035634,22412,3233925,5142,4212,1695,0,32.96,0,4,4
"91年 9月",93914,2031310,23300,2677989,4364,3109,1131,0,25.92,0,1,1
"91年 10月",93960,2033730,22350,3030617,5189,4630,1318,0,25.40,0,2,2
"91年 11月",94017,2040160,21489,2952345,5306,5875,1315,0,24.78,0,1,1
"91年 12月",93837,2029029,22247,2799372,6389,10753,1847,0,28.91,0,0,0
"92年 1月",93775,2032043,10500,3731480,4792,7402,2275,0,47.47,0,0,0
"92年 2月",93179,1994026,8013,2391769,4383,6393,1287,0,29.36,0,0,0
"92年 3月",93227,1988701,10367,2729886,5277,7468,1608,0,30.47,0,1,1
"92年 4月",93281,1988374,10458,2748421,4437,9437,1388,0,31.28,0,4,3
"92年 5月",93434,1993655,5729,1718446,3171,5036,635,0,20.03,0,1,1
"92年 6月",93466,1986865,9966,3176192,5079,7231,1052,0,20.71,0,3,3
"92年 7月",93529,1999085,10185,3607363,6347,8056,1627,0,25.63,0,2,2
"92年 8月",93601,2007937,8549,3241471,5187,6040,1220,0,23.52,0,3,3
"92年 9月",93674,2009981,8848,2648044,4876,6475,1309,0,26.85,0,2,2
"92年 10月",93794,2015400,9296,2611270,6132,6967,1285,0,20.96,0,2,3
"92年 11月",94071,2027735,9254,2445813,4374,7079,1079,0,24.67,0,0,0
"92年 12月",94251,2020263,9051,2281726,4698,6195,692,0,14.73,0,2,2
"93年 1月",94328,2019862,8740,3437705,3267,3212,592,0,18.12,0,1,1
"93年 2月",94569,2019685,9432,2926647,3975,7814,680,0,17.11,0,0,0
"93年 3月",94807,2022567,10623,2903200,4908,7708,1133,0,23.08,0,2,5
"93年 4月",95125,2030390,10345,2859685,4094,7343,1083,0,26.45,0,1,1
"93年 5月",95371,2029776,8980,2599677,3373,4494,333,853,9.87,18.98,1,1
"93年 6月",95461,2036420,8943,2658164,3898,8187,892,1173,22.88,14.33,1,1
"93年 7月",95713,2055449,10771,3941620,3851,3052,1152,656,29.91,21.49,2,2
"93年 8月",95857,2049983,9263,3092367,3911,3194,1109,610,28.36,19.10,3,4
