編號,公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反性別平等工作法（修正前為性別工作平等法，下同）條款,違反法規內容,罰鍰金額,備註
1,1150402,無,無,無,無,無,無,無,本期無違反性別平等工作法之事業單位
2,1150305,1150128,北市勞就第11460942191號 ,和和恬有限公司 ,唐怡婷 ,性別平等工作法第21條第1項 ,申請產檢假遭拒,20000,訴願中
2,1150305,1150127,北市勞就第11460407261號 ,居家整聊股份有限公司 ,鄭博元 ,性別平等工作法第11條第1項,懷孕歧視,300000,訴願中
3,1150305,1150127,北市勞就第11460347131號 ,香港商世界健身事業有限公司台灣分公司 ,柯約翰 ,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
4,1150205,1141231,北市勞就第11460883291號,惟美雅生物科技股份有限公司,黃美月,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,150000,
5,1150205,1141226,北市勞就第11460849331號,財團法人原住民族文化事業基金會,瑪拉歐斯,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
6,1150205,1141224,北市勞就第11460880161號,社團法人台北市美僑協會,普瑞迪,性別平等工作法第21條第2項,育嬰留職停薪遭不利處分,20000,
7,1150205,1141222,北市勞就第11460862781號,京鼎精密科技股份有限公司,劉揚偉,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
8,1150205,1141222,北市勞就第11460891881號,返場餐飲有限公司,吳庭安,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
9,1150105,1141119,北市勞就第11460804931號,社團法人國際人道建築與教育協會,裘振宇,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,120000,訴願中
10,1150105,1141119,北市勞就第11460240321號,亞瑟環境清潔股份有限公司,陳福志,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,訴願駁回(原處分維持)
11,1150105,1141114,北市勞就第11460784061號,米榭爾布盧股份有限公司,傅志誠,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,40000,訴願駁回(原處分維持)
12,1150105,1141113,北市勞就第11460757191號,唯眾普匯有限公司,陳正軒,性別平等工作法第7條,性別歧視,300000,訴願駁回(原處分維持)
13,1150105,1141113,北市勞就第11460875801號,中華電信股份有限公司,簡志誠,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,250000,勞動部審議中
14,1150105,1141112,北市勞就第11460743631號,鎧瑞全球股份有限公司,陳俐君,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,40000,
15,1141205,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
16,1141105,1140919,北市勞就第11460780611號 ,宇達經貿法律事務所 ,呂秋??,性別平等工作法第11條第1項 ,懷孕歧視,300000,訴願駁回(原處分維持)
17,1141105,1140916,北市勞就第11460628431號 ,葳騰科技股份有限公司 ,林鍾伶 ,性別平等工作法第13條第2項 ,雇主未盡工作場所性騷擾防治義務,20000,
18,1141007,1140827,北市勞就第11460675631號 ,養樂多股份有限公司,李道明,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
19,1141007,1140826,北市勞就第11460036781號,宜泓科技有限公司,張呂惠珍,性別平等工作法第11條第1項,懷孕歧視,300000,訴願駁回(原處分維持)
20,1141007,1140805,北市勞就第11460564721號,拾楀餐飲股份有限公司,曾柏憲,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
21,1140905,1140730,北市勞就第11460539971號,旭隼科技股份有限公司,謝卓明,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
22,1140905,1140728,北市勞就第11460061791號,信義之星公寓大廈管理維護股份有限公司,張建榮,性別平等工作法第21條第1項;性別平等工作法第21條第2項,申請育嬰留職停薪復職遭拒;申請育嬰留職停薪遭不利處分,40000,訴願駁回(原處分維持)
23,1140905,1140728,北市勞就第11460032561號,艾滴科技股份有限公司,余萬洲,性別平等工作法第11條第1項,懷孕歧視,300000,訴願駁回(原處分維持)
24,1140905,1140728,北市勞就第11460586941號,香港商群邑有限公司台灣分公司,郭俊鑫,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
25,1140805,1140605,北市勞就第11361193961號,臺北市政府環境保護局,徐世勳,性別平等工作法第7條,性別歧視,300000,訴願駁回(原處分維持)
26,1140805,1140605,北市勞就第11460606391號,沐蘭休閒事業股份有限公司,陳麗貞,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
27,1140704,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
28,1140605,1140416,北市勞就第11361031001號,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,張文瀚,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
