address,date,no,organizer,seqno,tax_id_number,twd97x,twd97y,wgs84ax,wgs84ay
新北市新莊區新莊路四九三巷四弄一一號,20230731,99611344,鴻輝食品廠,1,35567635,295271.81,2769474.8199999998,121.4486180913,25.032703122
新北市新莊區化成路三八二巷一八號,20230731,99604192,廣達香食品股份有限公司,2,35549807,297142.6,2771386.3100000001,121.4672214145,25.0499029713
新北市板橋區縣民大道一段二八一號,20230731,99613990,順發糧食行,3,33305209,296479.77,2766976.6099999999,121.4605038146,25.0101125037
新北市新莊區化成路二一九號,20230731,99600477,台灣塩野香料股份有限公司,4,3561504,296988.9,2771035.6299999999,121.4656862541,25.0467418104
新北市新莊區新樹路二六八巷二二號,20230731,99606467,圓金釀造食品股份有限公司,5,35427115,293506.24,2767400.6499999999,121.4310572506,25.0140290967
新北市永和區仁愛路一四一巷五二號,20230731,99605140,永芳醬園股份有限公司,6,33938534,301732.77,2767131.0299999998,121.5125527299,25.0113362727
新北市三重區三和路4段77號2、3樓、79號1至6樓,20230731,99606303,強生化學製藥廠股份有限公司,7,35348007,299403.04,2774204.2599999998,121.48972476,25.0752712299
新北市淡水區中正路二巷一號,20230731,99618950,大德製冰廠,8,37011107,294721.91,2784643.8599999999,121.4436627528,25.1696653472
新北市三峽區竹崙路140號,20230731,99615941,臺灣農林股份有限公司北區分公司,9,33506395,293933.08,2755800.5800000001,121.434918096,24.9092893194
新北市樹林區柑園街一段三四五號,20230731,99689303,新成春碾米廠,10,33326978,289454.27,2760995.52,121.3907285278,24.9563132577
新北市鶯歌區黃厝街３１巷１７號,20230731,99615451,建興豆皮工廠,11,33230600,284697,2759789.3300000001,121.3435862431,24.9455396022
新北市鶯歌區尖山路二０四號,20230731,99689798,永順豆皮工廠,12,33084901,284708.03,2759963.6299999999,121.3436998129,24.9471129517
新北市新莊區新莊路六七、六九號,20230731,99606385,華泰行食品工廠,13,35913896,296171.48,2769931.02,121.4575483564,25.0367944736
新北市新莊區新莊路128號,20230731,99610825,翁裕美商行,14,35320057,295984.45,2769831.04,121.4556916115,25.0358975757
新北市金山區美田里中山路218號,20230731,99690225,集發米廠,15,37144900,314225.45,2790514.8599999999,121.6374150416,25.2219599604
新北市淡水區中正路一七０號,20230731,99619195,和利碾米工廠,16,37065905,294402.69,2784668.8300000001,121.4404968393,25.1699002529
新北市中和區中山路二段三二九號,20230731,99616659,桂冠實業股份有限公司中和一廠,17,18868215,299754.2,2766112.3300000001,121.4929136185,25.0022057455
新北市三重區光復路二段一四０號,20230731,99613703,建豐實業股份有限公司二重工廠,18,15276906,297617.89,2772461.4500000002,121.4719689956,25.0595943998
