school_name,meal_date,dish_category,dish_name,is_veg,ingredients,ingredient_count,summary,score,reference
中華中學學校財團法人新北市福瑞斯特高中,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市中和區光復國小,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市新莊區新莊高中,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市新莊區昌隆國小,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市新莊區福營國中,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市樹林區樹林國小,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市永和區永和國小,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
新北市永和區網溪國小,2026-03-31,主菜,Q壽喜燒魚排,False,水鯊魚,1,魚肉雖優質但燒烤方式使營養流失，熱量偏高,2,"[""水鯊魚"", ""燒""]"
中華中學學校財團法人新北市福瑞斯特高中,2026-03-31,主菜,清蒸蔬菜捲,True,翠玉捲,1,蔬菜清蒸保留營養,5,"[""翠玉捲"", ""清蒸""]"
新北市中和區秀山國小,2026-03-31,主菜,清蒸蔬菜捲,True,翠玉捲,1,蔬菜清蒸保留營養,5,"[""翠玉捲"", ""清蒸""]"
