principal,date,law,name,id,lawcontent,docno,amt_dollartwd
馬玉山,2017-01-11,性別工作平等法第7條,冠誠生活股份股份有限公司,279154335WZT,對求職者或受僱者之招募、甄試、進用、分發、配置、考績或陞遷等，因性別或性傾向而有差別待遇,新北府勞業字第1052058485號,300000
姜長安,2020-04-28,性別工作平等法第13條第2項,普誠科技股份有限公司,684165933WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1082341160號,100000
吳培治,2020-04-29,性別工作平等法第10條,杰睿國際有限公司,684535474WZT,對受僱者薪資之給付，因性別或性傾向而有差別待遇,新北府勞業字第1082451830號,300000
,2020-08-17,性別工作平等法第13條第2項,張傳發,715099685WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1091073478號,50000
周華堂,2020-09-22,性別工作平等法第13條第2項,勤樸大臻大樓管理委員會,722945779WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1090928125號,50000
周華堂,2020-09-22,性別工作平等法第36條,勤樸大臻大樓管理委員會,723235207WZT,因受僱者提出性別工作平等法之申訴而予以解僱、調職或其他不利之處分,新北府勞業字第10909281251號,10000
羅賴堂,2020-10-29,性別工作平等法第11條第1項,楨德圖書事業有限公司,733242704WZT,對受僱者之退休、資遣、離職或解僱，因性別或性傾向而有差別待遇,新北府勞業字第1091598204號,300000
,2020-12-30,性別工作平等法第13條第2項,羅揚清(即康陽診所),752031895WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1091961480號,100000
王蘇明霞,2020-12-30,性別工作平等法第13條第2項,遠東鐵櫃鋼鐵廠股份有限公司,752031896WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1091753164號,100000
陳明志,2020-12-30,性別工作平等法第13條第1項,厚誼工程有限公司,752031897WZT,未訂定性騷擾防治措施、申訴及懲戒辦法，或未在工作場所公開揭示,新北府勞業字第1091784476號,100000
陳明志,2020-12-30,性別工作平等法第13條第2項,厚誼工程有限公司,752031898WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第10917844761號,100000
簡國恩,2021-03-08,性別工作平等法第13條第2項,原藤國際室內裝修有限公司,771864834WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1092436228號,100000
陳旭東,2021-03-10,性別工作平等法第21條第2項,相互股份有限公司,773379037WZT,受僱者為育嬰留職停薪之請求，遭受不利處分,新北府勞業字第1092297201號,20000
陳美孜,2021-03-10,性別工作平等法第13條第2項,英屬維京群島商躍獅股份有限公司台灣分公司,773379038WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1092429911號,100000
林秀芬,2021-03-11,性別工作平等法第13條第2項,常嘉地產股份有限公司,773734875WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1092468606號,100000
簡正雄,2021-03-16,性別工作平等法第13條第2項,菲力工業股份有限公司,775102883WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1092189744號,100000
陳詠佶,2021-05-07,性別工作平等法第13條第2項,這一鍋餐飲股份有限公司,794916712WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1100320899號,100000
,2021-09-11,性別工作平等法第21條第2項,羅子森(即卡森餐飲企業社),832518097WZT,受僱者為產檢假、產假、安胎休養或陪產假相關之請求，遭受不利處分,新北府勞業字第1100927409號,20000
王令麟,2021-09-14,性別工作平等法第21條第1項,東森得易購股份有限公司,833164089WZT,拒絕受僱者為生理假之請求,新北府勞業字第1100923965號,20000
吳翹安,2021-11-01,性別工作平等法第21條第1、2項,翹慧事業股份有限公司,839636545WZT,拒絕受僱者為安胎休養之請求；受僱者為安胎休養之請求，遭受不利處分,新北府勞業字第1101474338號,60000
,2021-11-02,性別工作平等法第13條第2項,湯桂英,839706154WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1101674377號,50000
,2021-11-02,性別工作平等法第13條第2項,施柏全,839706175WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1101599574號,50000
鍾智友,2021-12-16,性別工作平等法第13條第2項,普登科技股份有限公司,851481021WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1102034136號,100000
余瑞祥,2022-03-16,性別工作平等法第21條第2項,志成國際有限公司,881547452WZT,受僱者為生理假之請求，遭受不利處分,新北府勞業字第1102427909號,40000
,2022-03-17,性別工作平等法第13條第2項,吳元良,881547464WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1101973668號,50000
陳士亮,2022-03-17,性別工作平等法第7條,新北市保全業職業工會,881682969WZT,對求職者或受僱者之招募、甄試、進用、分發、配置、考績或陞遷等，因性別或性傾向而有差別待遇,新北府勞業字第1110112190號,100000
鄧美生,2022-05-03,性別工作平等法第13條第2項,飛速生物科技有限公司,886969026WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1110070995號,50000
,2022-05-04,性別工作平等法第13條第2項,賈惕生,886969039WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1110354280號,100000
林世峯,2022-07-07,性別工作平等法第13條第2項,瑞杰科技股份有限公司,894928742WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1110858936號,50000
,2022-07-13,性別工作平等法第11條第1項,姜蔡阿秀(即玖臨茶飲店),895566564WZT,對受僱者之退休、資遣、離職或解僱，因性別或性傾向而有差別待遇,新北府勞業字第1110227715號,100000
