principal,date,law,name,id,lawcontent,docno,amt_dollartwd
 ,2013-12-31,勞動基準法第30條第5項,郭淑玲(即鼎天餐飲店),271852187WZT,未依規定置備勞工出勤紀錄表,北府勞檢字第1023215553號,20000
 ,2013-08-07,勞動基準法第36條,譚湘蓉(即譚湘蓉記帳士事務所),271852191WZT,每七日中未有一日之休息作為例假,北府勞檢字第10232084831號,20000
 ,2013-09-11,勞動基準法第36條,嘉里大榮物流股份有限公司,271852219WZT,每七日中未有一日之休息作為例假,北府勞檢字第10232100771號,20000
 ,2013-10-04,勞動基準法第36條,閎暉實業股份有限公司,271852222WZT,每七日中未有一日之休息作為例假,北府勞檢字第10232113131號,20000
陳曼玲,2013-11-07,勞動基準法第36條,飛帆通運有限公司,271852226WZT,每七日中未有一日之休息作為例假,北府勞檢字第1023212890號,20000
鄭舒云,2013-11-15,勞動基準法第36條,正隆股份有限公司,271852228WZT,每七日中未有一日之休息作為例假,北府勞條字第10230768341號,20000
胡開昌,2013-11-18,勞動基準法第36條,北智捷汽車股份有限公司,271852229WZT,每七日中未有一日之休息作為例假,北府勞條字第10230474982號,20000
陳瑞堂,2013-12-17,勞動基準法第36條,統一速達股份有限公司,271852235WZT,每七日中未有一日之休息作為例假,北府勞條字第10232944891號,20000
 ,2013-12-18,勞動基準法第36條,蔡佳伶(即曉臨髮廊),271852236WZT,每七日中未有一日之休息作為例假,北府勞檢字第1023214746號,20000
岑德強,2013-12-31,勞動基準法第36條,勤力國際股份有限公司,271852237WZT,每七日中未有一日之休息作為例假,北府勞條字第1023340117號,50000
吳健行,2014-01-03,勞動基準法第36條,欣欣客運股份有限公司,271852240WZT,每七日中未有一日之休息作為例假,北府勞條字第1023398588號,80000
劉信宏,2013-11-20,勞動基準法第7條,紫羅軒婚紗攝影有限公司,271852262WZT,未依規定置備勞工名卡,北府勞條字第1023065831號,20000
 ,2013-09-10,勞動基準法第24條,宏佶人力資源管理有限公司,271852273WZT,延長工作時間未依規定加給工資,北府勞檢字第10232099251號,20000
 ,2013-08-13,勞動基準法第24條,大有限公司,271852277WZT,延長工作時間未依規定加給工資,北府勞檢字第1023208766號,20000
 ,2013-09-02,勞動基準法第24條,上毅國際企業有限公司,271852281WZT,延長工作時間未依規定加給工資,北府勞檢字第1023209720號,20000
 ,2013-08-23,勞動基準法第24條,王忠偉(即誠信聯合會計師事務所),271852293WZT,延長工作時間未依規定加給工資,北府勞檢字第1023209506號,20000
胡慧華,2013-07-22,勞動基準法第24條,美而美食品實業有限公司,271852295WZT,延長工作時間未依規定加給工資,北府勞條字第10222615001號,20000
 ,2013-08-23,勞動基準法第24條,李錦玫(即新北市私立愛丁堡幼兒園),271852296WZT,延長工作時間未依規定加給工資,北府勞檢字第1023209434號,20000
林清山,2013-06-21,勞動基準法第24條,麗鎮工業股份有限公司,271852379WZT,延長工作時間未依規定加給工資,北府勞條字第1022060284號,20000
 ,2013-08-22,勞動基準法第24條,黃協興(即中山聯合會計師事務所),271852393WZT,延長工作時間未依規定加給工資,北府勞檢字第1023209363號,20000
