no,date,type,disaster,location,category
1,108/02/01,墜落、滾落,1死0傷,平溪區,批發及零售業
2,108/03/02,溺斃,1死0傷,萬里區,農、林、漁、牧業
3,108/03/15,墜落、滾落,1死0傷,板橋區,營造業
4,108/04/03,墜落、滾落,1死0傷,中和區,製造業
5,108/04/04,跌倒,1死0傷,五股區,製造業
6,108/04/09,溺斃,1死0傷,八里區,運輸及倉儲業
7,108/04/20,被夾、被捲,1死0傷,新店區,運輸及倉儲業
8,108/04/24,墜落、滾落,1死0傷,三重區,營造業
9,108/04/25,墜落、滾落,1死1傷,蘆洲區,製造業
10,108/04/26,爆炸,0死3傷,板橋區,營造業
11,108/05/13,物體倒塌、崩塌,1死0傷,土城區,營造業
12,108/05/20,墜落、滾落,1死0傷,汐止區,營造業
13,108/06/01,被撞,1死1傷,鶯歌區,營造業
14,108/06/05,感電,1死0傷,板橋區,電力及燃氣供應業
15,108/06/05,感電,1死0傷,土城區,營造業
16,108/06/22,感電,1死0傷,中和區,營造業
17,108/06/26,墜落、滾落,1死0傷,板橋區,製造業
18,108/07/06,墜落、滾落,1死0傷,新莊區,營造業
19,108/07/08,墜落、滾落,1死0傷,三峽區,支援服務業
20,108/07/17,感電,1死0傷,新莊區,營造業
21,108/07/18,墜落、滾落,1死0傷,林口區,營造業
22,108/07/23,墜落、滾落,1死0傷,新莊區,營造業
23,108/07/28,物體飛落,1死0傷,八里區,製造業
24,108/08/20,墜落、滾落,1死0傷,蘆洲區,營造業
25,108/08/30,墜落、滾落,1死0傷,林口區,營造業
26,108/09/02,物體飛落,1死0傷,土城區,營造業
27,108/09/08,跌倒,1死0傷,中和區,支援服務業
28,108/09/19,物體倒塌、崩塌,1死0傷,樹林區,營造業
29,108/09/20,物體倒塌、崩塌,1死0傷,蘆洲區,營造業
30,108/09/27,感電,1死0傷,淡水區,營造業
31,108/10/02,溺斃,1死0傷,貢寮區,批發及零售業
32,108/11/06,物體飛落,1死0傷,新店區,製造業
33,108/11/08,物體倒塌、崩塌,1死0傷,中和區,運輸及倉儲業
34,108/11/20,物體飛落,1死0傷,新莊區,製造業
35,108/11/24,墜落、滾落,1死0傷,瑞芳區,批發及零售業
36,108/11/29,跌倒,1死0傷,中和區,支援服務業
37,108/12/01,溺斃,3死4傷,八里區,營造業
38,108/12/04,墜落、滾落,1死0傷,新莊區,營造業
39,108/12/19,感電,1死1傷,林口區,營造業
40,108/12/23,衝撞,1死0傷,林口區,營造業
41,109/02/21,墜落、滾落,1死0傷,新莊區,批發及零售業
42,109/03/04,墜落、滾落,1死0傷,新莊區,營造業
43,109/03/09,溺斃,2死0傷,八里區,運輸及倉儲業
44,109/03/11,被夾、被捲,1死0傷,鶯歌區,製造業
45,109/03/27,墜落、滾落,1死0傷,淡水區,營造業
46,109/04/23,被夾、被捲,1死0傷,樹林區,批發及零售業
47,109/05/13,感電,1死0傷,石門區,資訊及通訊傳播業
48,109/05/15,墜落、滾落,1死0傷,淡水區,營造業
49,109/06/09,墜落、滾落,1死0傷,八里區,營造業
50,109/06/10,墜落、滾落,1死0傷,中和區,營造業
51,109/06/22,墜落、滾落,1死0傷,林口區,營造業
52,109/06/25,墜落、滾落,1死0傷,汐止區,營造業
53,109/06/28,火災,1死0傷,五股區,批發及零售業
54,109/07/15,物體倒塌、崩塌,1死0傷,三峽區,批發及零售業
55,109/07/20,墜落、滾落,1死0傷,三重區,營造業
56,109/08/02,與有害物等之接觸,1死0傷,樹林區,製造業
57,109/08/25,墜落、滾落,1死0傷,永和區,營造業
58,109/09/03,物體倒塌、崩塌,1死0傷,汐止區,製造業
59,109/09/04,墜落、滾落,1死0傷,樹林區,專業、科學及技術服務業
60,109/09/07,物體倒塌、崩塌,1死0傷,淡水區,營造業
61,109/09/07,物體飛落,1死0傷,三重區,營造業
62,109/09/08,墜落、滾落,1死0傷,新店區,營造業
63,109/09/09,物體倒塌、崩塌,1死0傷,汐止區,營造業
64,109/09/24,墜落、滾落,1死0傷,板橋區,營造業
65,109/11/12,墜落、滾落,1死0傷,淡水區,營造業
66,109/11/17,感電,1死0傷,坪林區,其他服務業
67,109/12/13,墜落、滾落,1死0傷,三峽區,製造業
68,109/12/21,墜落、滾落,1死0傷,三重區,製造業
69,109/12/24,被夾、被捲,1死0傷,土城區,製造業
70,109/12/29,墜落、滾落,1死0傷,新莊區,營造業
71,109/12/31,墜落、滾落,1死0傷,三重區,營造業
72,110/01/03,物體飛落,1死0傷,樹林區,製造業
73,110/01/06,墜落、滾落,1死0傷,三重區,營造業
74,110/01/26,溺斃,1死0傷,八里區,營造業
75,110/02/04,跌倒,1死0傷,蘆洲區,營造業
76,110/02/05,被撞,1死0傷,汐止區,營造業
77,110/02/08,被撞,1死0傷,林口區,其他服務業
78,110/03/03,與有害物等之接觸,1死0傷,新莊區,營造業
79,110/04/14,其他交通事故,1死0傷,三重區,製造業
80,110/04/30,感電,1死0傷,三重區,營造業
81,110/05/30,感電,1死0傷,三峽區,批發及零售業
82,110/06/15,物體倒塌、崩塌,1死0傷,八里區,其他服務業
83,110/06/18,墜落、滾落,1死0傷,新店區,營造業
84,110/07/01,被夾、被捲,1死0傷,三峽區,製造業
85,110/07/02,墜落、滾落,1死0傷,八里區,營造業
86,110/07/07,溺斃,1死0傷,淡水區,營造業
87,110/08/09,墜落、滾落,1死0傷,新店區,營造業
88,110/08/21,墜落、滾落,1死0傷,八里區,運輸及倉儲業
89,110/09/01,感電,1死0傷,三重區,營造業
90,110/09/04,溺斃,1死0傷,汐止區,專業、科學及技術服務業
91,110/09/05,物體飛落,1死0傷,三重區,營造業
92,110/09/16,溺斃,1死0傷,金山區,農、林、漁、牧業
93,110/09/26,感電,1死0傷,三峽區,製造業
94,110/10/07,被夾、被捲,1死0傷,新莊區,運輸及倉儲業
95,110/10/13,墜落、滾落,1死1傷,三重區,藝術、娛樂及休閒服務業
96,110/10/15,物體倒塌、崩塌,1死0傷,樹林區,運輸及倉儲業
97,110/11/05,墜落、滾落,1死0傷,鶯歌區,營造業
98,110/11/19,墜落、滾落,1死0傷,新莊區,營造業
99,110/11/24,墜落、滾落,1死0傷,三重區,營造業
