principal,date,law,name,id,lawcontent,docno,amt_dollartwd
劉德盛,2019-03-05,職業安全衛生法第6條第1項,振新水電工程有限公司,556299623WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084247251號,40000
賴禹杉,2019-06-04,職業安全衛生法第6條第1項,承盛電能安保股份有限公司,601260001WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084261093號,30000
賴禹杉,2019-06-10,職業安全衛生法第37條第2項,承盛電能安保股份有限公司,602244090WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1084262084號,30000
李雅敏,2019-07-30,職業安全衛生法第6條第1項,君諾有限公司,612163503WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084269192號,30000
卓國興,2019-08-20,職業安全衛生法第6條第1項,逸芳企業有限公司,616816253WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084271094號,30000
陳素玲,2019-08-21,職業安全衛生法第34條第1項,晶沛實業有限公司,616816255WZT,未訂定適合其需要之安全衛生工作守則，報經勞動檢查機構備查後，公告實施,新北府勞檢字第1084271154號,40000
,2019-08-27,職業安全衛生法第6條第1項,葉明泰(即勁白洗衣店),618253343WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084271972號,30000
劉和然,2019-09-23,職業安全衛生法第6條第1項,新北市政府環境保護局,626460517WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084275668號,30000
陳文添,2019-09-27,職業安全衛生法第6條第1項,品光室內裝修設計股份有限公司,627013975WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084276485號,40000
游心怡,2019-10-05,職業安全衛生法第6條第1項,五裔有限公司,629304751WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084277821號,30000
徐錦池,2019-10-05,職業安全衛生法第6條第1項,衛生福利部臺北醫院,629304757WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084277648號,30000
張政源,2019-10-22,職業安全衛生法第6條第1項,交通部臺灣鐵路管理局,633783965WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084279591號,30000
游孟輝,2020-02-03,職業安全衛生法第32條第1項,大有巴士股份有限公司,660580201WZT,未對勞工應施以從事工作與預防災變所必要之安全衛生教育及訓練,新北府勞檢字第1094762732號,30000
蘇克政,2020-02-03,職業安全衛生法第6條第1項,佳因企業有限公司,660580203WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094762805號,30000
郭昆山,2020-02-17,職業安全衛生法第6條第1項,昆龍貨櫃通運股份有限公司,663842398WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094764574號,30000
董龍泉,2020-03-13,職業安全衛生法第37條第2項,國軍退除役官兵輔導委員會臺北榮譽國民之家,670932298WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094767522號,30000
梁天財,2020-03-23,職業安全衛生法第6條第1項,艾得股份有限公司,673926907WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094769004號,30000
葉進華,2020-04-14,職業安全衛生法第6條第1項,昶星營造工程有限公司,680042296WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947709762號,30000
江素卿,2020-04-30,職業安全衛生法第6條第1項,華怡實業有限公司,684961476WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773771號,30000
張芳淑,2020-04-30,職業安全衛生法第6條第1項,聯合水業股份有限公司,684961483WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773594號,30000
,2020-05-01,職業安全衛生法第6條第1項,陳賢根,685259161WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773977號,30000
謝明泉,2020-05-01,職業安全衛生法第27條第1項第4款,新航通運有限公司,685259162WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094773725號,30000
