_id,_importdate,經度,緯度,序號,發生日期,工程名稱,事業單位名稱,地址,災害類型,死亡人數,受傷人數
1,"{'date': '2025-11-27 15:27:16.041559', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5390163,25.05663066,1,113年12月31日,略,永祿工程有限公司,臺北市中山區合江街68號,墜落、滾落,0,1
2,"{'date': '2025-11-27 15:27:16.050844', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5627737,25.03733199,2,113年12月25日,略,享受享受娛樂有限公司,臺北市信義區市府路1號,墜落、滾落,1,0
3,"{'date': '2025-11-27 15:27:16.052606', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5598435,25.01731402,3,113年12月22日,略,富盛美護有限公司,臺北市大安區和平東路3段448-482號,墜落、滾落,1,0
4,"{'date': '2025-11-27 15:27:16.054477', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5088832,25.04274748,4,113年11月13日,略,錢櫃事業股份有限公司,臺北市中正區中華路1段55號8樓,墜落、滾落,1,0
5,"{'date': '2025-11-27 15:27:16.055971', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5272914,25.0654051,5,113年09月21日,略,統億大廈管理委員會主委韓長發,臺北市中山區新生北路3段56巷1號,與高溫、低溫之接觸(11),0,1
6,"{'date': '2025-11-27 15:27:16.057604', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.600247,25.08981648,6,113年08月24日,（107建245）山岳開發建設房屋新建工程,倚鋼工業有限公司,臺北市內湖區大湖山莊街219巷53號旁,墜落、滾落,1,0
7,"{'date': '2025-11-27 15:27:16.059285', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5239124,25.06024662,7,113年08月22日,略,九大牙體生技有限公司,臺北市中山區錦州街12號4樓,墜落、滾落,1,0
8,"{'date': '2025-11-27 15:27:16.060883', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.526152,25.03015525,8,113年08月17日,(112拆013)清華大學月涵堂遷移、修復暨台北政經學院大樓新建工程,鼎瑞金屬有限公司,臺北市大安區金華街110號工地,物體飛落,1,0
9,"{'date': '2025-11-27 15:27:16.062366', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.545818,25.05805769,9,113年07月20日,（112建196）松山區敦化段5小段21地號等2筆地號集合住宅新建工程,林哲松（即億松工程行）,臺北市松山區民生東路3段111號之,墜落、滾落,0,1
10,"{'date': '2025-11-27 15:27:16.063823', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5864803,25.00517276,10,113年06月11日,略,臺北市政府環境保護局木柵垃圾焚化廠,臺北市文山區木柵路5段53號,與高溫、低溫之接觸,0,1
11,"{'date': '2025-11-27 15:27:16.065166', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5161546,25.04458398,11,113年06月03日,略,林妹玉（即洋庭坊）,臺北市中正區南陽街15之2號1樓,爆炸,0,2
12,"{'date': '2025-11-27 15:27:16.066785', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5566111,25.14147562,12,113年05月30日,113-115年士林第11、木柵地9、大安第6及其他墓區等整理遷置工程委託技術服務,四四四禮儀家有限公司,臺北市士林區菁山路110巷,其他,1,0
13,"{'date': '2025-11-27 15:27:16.068272', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5728555,25.08061694,13,113年05月20日,(109建273)松達內湖區西湖段策略性產業新建工程,華營科技工程有限公司,臺北市內湖區內湖路1段390號,墜落、滾落,1,0
14,"{'date': '2025-11-27 15:27:16.069749', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5178287,25.08618998,14,113年03月30日,圓山富璟房屋銷售案之接待中心拆除工程,川普工程有限公司,臺北市士林區福港街208號,物體倒塌、崩塌,1,0
15,"{'date': '2025-11-27 15:27:16.071188', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5362991,25.0400714,15,113年03月04日,（109建233璞真合和案住宅大樓新建工程）,暐柏企業社,臺北市大安區濟南路3段41號對面之109建233璞真合和案住宅大樓新建工程,墜落、滾落,1,0
16,"{'date': '2025-11-27 15:27:16.072561', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5102827,25.07227698,16,113年03月03日,略,煒盛環境科技股份有限公司,臺北市大同區酒泉街235號,溺斃,1,0
17,"{'date': '2025-11-27 15:27:16.073975', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5814522,25.037249,17,112年12月12日,臺北都會區大眾捷運系統信義線東延段 CR580C 區段標工程,李金祥(即億駿工程行),臺北市信義區福德街84巷口,墜落、滾落,1,0
18,"{'date': '2025-11-27 15:27:16.075475', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5670593,25.0635944,18,112年11月24日,民生水資源再生中心暨下水道環境教育館新建工程統包案,泓垣霖科技股份有限公司,臺北市松山區民權東路5段41號,與有害物質等之接觸,1,0
19,"{'date': '2025-11-27 15:27:16.076937', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5165369,25.0631438,19,112年11月5日,（108建057）華誼民權大同段新建工程,廣林工程有限公司,臺北市大同區民權西路153號,火災,0,1
20,"{'date': '2025-11-27 15:27:16.078462', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5193103,25.0939832,20,112年10月25日,台北市陽明段公設VIP工程,?國勝(即上順玻璃行),臺北市士林區基河路300巷旁,墜落、滾落,1,0
21,"{'date': '2025-11-27 15:27:16.079846', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5305865,25.0135945,21,112年10月13日,（109建035）公館配水池改建暨共構多目標綜合大樓新建工程,福清營造股份有限公司,臺北市中正區思源街1號,墜落、滾落,1,0
22,"{'date': '2025-11-27 15:27:16.081190', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5317943,25.0522555,22,112年9月15日,辦公室新址設計裝修工程,崴盛水電有限公司,臺北市中山區南京東路2段85、87號5及6樓,感電,1,0
23,"{'date': '2025-11-27 15:27:16.082684', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.508386,25.0533841,23,112年8月28日,（107建077）良昱建設玉泉段565號集合住宅新建工程,創利工程有限公司,臺北市大同區南京西路446號,感電,1,0
24,"{'date': '2025-11-27 15:27:16.084120', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.6065976,25.0518784,24,112年8月25日,高壓開關年度維護工作,臺北捷運股份有限公司,臺北市南港區忠孝東路7段214號2-1號,感電,0,2
25,"{'date': '2025-11-27 15:27:16.085534', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5435575,25.0428068,25,112年8月2日,（109建6868）統創緻新建工程,東生營造股份有限公司,臺北市大安區復興南路1段132號,墜落、滾落,1,0
26,"{'date': '2025-11-27 15:27:16.087169', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5069661,25.1360048,26,112年7月29日,略,台灣新明和工業股份有限公司,臺北市北投區光明路236號,與有害物等之接觸,1,0
27,"{'date': '2025-11-27 15:27:16.088627', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.4972531,25.02539808,27,112年7月12日,(108建171）民凱建設民和街集合住宅新建工程,陳律達（即達信工程行）,臺北市萬華區民和街109號對面,墜落、滾落,1,0
28,"{'date': '2025-11-27 15:27:16.090276', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5617509,25.0415462,28,112年7月5日,臺北文化體育園區基地台建設、維運暨緊急搶修工程,利易通企業有限公司,臺北市信義區忠孝東路4段545號旁,感電,1,0
29,"{'date': '2025-11-27 15:27:16.091743', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5678454,25.1444815,29,112年7月4日,略,福田園教育休閒農場,臺北市士林區菁山路131巷18號，對面之「你農我農 友善田園」之菜園區,墜落、滾落,1,0
30,"{'date': '2025-11-27 15:27:16.093060', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5677054,25.0331845,30,112年5月7日,（111建1688）南山A26地上權案新建工程,崴倫興業有限公司,臺北市信義區信義路5段17號,跌倒,1,0
